included,category,dataset,mean,lower,upper,LR
4,All-MFN,BrightKite,0.07688650961402252,0.06595312390189707,0.08902216942518598,USLR
4,All-MFN,Gowalla,0.04335824889831285,0.03776728071395317,0.04959130955303192,USLR
4,All-MFN,Weeplace,0.024053531464070018,0.021474331462804398,0.02702326346919766,USLR
4,D-MFN,BrightKite,0.059756594043203784,0.04531527100341693,0.07866886473833172,USLR
4,D-MFN,Gowalla,0.10614986744535926,0.09522583866589628,0.11753783152083798,USLR
4,D-MFN,Weeplace,0.10676836145451464,0.0996773185292539,0.11398197843000968,USLR
4,H-MFN,BrightKite,0.06226752734099818,0.05131179507711931,0.07345402907985747,USLR
4,H-MFN,Gowalla,0.09530498478552552,0.08386434455214094,0.10724071059770866,USLR
4,H-MFN,Weeplace,0.10083672438244262,0.09393338735739871,0.10805040872095267,USLR
4,TFN,BrightKite,0.03774513760735066,0.029073377686703622,0.04697809486468439,USLR
4,TFN,Gowalla,0.0753443327896438,0.06325250995317226,0.08818397788322158,USLR
4,TFN,Weeplace,0.06693573694425271,0.05980441152540011,0.07463182897872943,USLR
5,24H-MFN,BrightKite,0.04901434440798492,0.039817119158794455,0.058944082407141274,USLR
5,24H-MFN,Gowalla,0.09932112293688711,0.08691745587147232,0.11300414244807064,USLR
5,24H-MFN,Weeplace,0.10148634820131083,0.09354652006596852,0.10942149113459408,USLR
5,All-MFN,BrightKite,0.07132657501173718,0.06073054169479166,0.08297137753188491,USLR
5,All-MFN,Gowalla,0.03644513102695468,0.03154876701859701,0.041855453252919575,USLR
5,All-MFN,Weeplace,0.018985834148443275,0.016763313409617397,0.021549359106931235,USLR
5,D-MFN,BrightKite,0.05551712326098072,0.045297735265420025,0.06635542770494932,USLR
5,D-MFN,Gowalla,0.09794075783663604,0.08581946464354784,0.11109510151956446,USLR
5,D-MFN,Weeplace,0.09995151502974597,0.09310662458928284,0.10689231915579515,USLR
5,H-MFN,BrightKite,0.053523135559225235,0.04315942059912165,0.06484159091710594,USLR
5,H-MFN,Gowalla,0.09428526498467617,0.08210847509712621,0.10744212422034614,USLR
5,H-MFN,Weeplace,0.09802792383429056,0.09063920648315456,0.1055958839788887,USLR
5,TFN,BrightKite,0.046613203840371646,0.03602346902985415,0.05807108207332425,USLR
5,TFN,Gowalla,0.07588696773579472,0.06342981188939073,0.08920220844638992,USLR
5,TFN,Weeplace,0.07135021652049732,0.06440666494897213,0.07856910725868936,USLR
6,24H-MFN,BrightKite,0.045513711475844036,0.03586963830594728,0.05577573698463362,USLR
6,24H-MFN,Gowalla,0.08214071872055453,0.07269908986973729,0.09210345043647761,USLR
6,24H-MFN,Weeplace,0.08830030143186846,0.08106581983832513,0.09591056614222519,USLR
6,All-MFN,BrightKite,0.06456195484134042,0.054773897402862544,0.07536773476816569,USLR
6,All-MFN,Gowalla,0.030660781460163617,0.026247920156666934,0.035731549755078175,USLR
6,All-MFN,Weeplace,0.015199028434990994,0.01332644329881769,0.017392340860945068,USLR
6,D-MFN,BrightKite,0.041535775796403995,0.03430680744298936,0.0490279730162526,USLR
6,D-MFN,Gowalla,0.08762045639037615,0.0769041878577133,0.09941268041935118,USLR
6,D-MFN,Weeplace,0.09027089780741863,0.0837855364906129,0.09687134297218811,USLR
6,H-MFN,BrightKite,0.04862913128164106,0.03953078242317297,0.058367845207260696,USLR
6,H-MFN,Gowalla,0.08787412172456108,0.07652801497330493,0.0994380627236035,USLR
6,H-MFN,Weeplace,0.09067171438274281,0.08383589886432874,0.0979500864901521,USLR
6,TFN,BrightKite,0.052156122162036855,0.03837326985127949,0.06889290501397606,USLR
6,TFN,Gowalla,0.0665813244583584,0.05580651621883992,0.07832200218719317,USLR
6,TFN,Weeplace,0.07595802306104645,0.0687573935424155,0.08354256084129796,USLR
7,24H-MFN,BrightKite,0.044108939682487885,0.033426354495332725,0.056545470989810685,USLR
7,24H-MFN,Gowalla,0.08854995495354581,0.07623399537707318,0.10191669566736614,USLR
7,24H-MFN,Weeplace,0.08333358335099948,0.07689649179931689,0.08968824023169872,USLR
7,All-MFN,BrightKite,0.060607876242417355,0.05155455026722705,0.07042624783076233,USLR
7,All-MFN,Gowalla,0.02535656213138259,0.021448880655195277,0.029942060109970754,USLR
7,All-MFN,Weeplace,0.012122843767643554,0.010547832984194894,0.013928678946935755,USLR
