included,category,dataset,mean,lower,upper,LR
10,SW-24H-MFN,Gowalla,0.4068049935359544,0.37888174489550197,0.4345905037002227,USLR
10,SW-24H-MFN,Weeplace,0.41214922256041103,0.3945049354154988,0.4305037747206251,USLR
10,TFN,BrightKite,0.28615253400199103,0.2506519485130486,0.32300729507590403,USLR
10,TFN,Gowalla,0.39986824961901973,0.3720703215260096,0.4271854583740479,USLR
10,TFN,Weeplace,0.4112579381877054,0.3931679984012823,0.42903725000407744,USLR
1,CB-1D-MFN,BrightKite,0.26436103608024175,0.2179877721589731,0.31447521322849703,SLR
1,CB-1D-MFN,Gowalla,0.21709053097803477,0.19238224370421714,0.24298085923507848,SLR
1,CB-1D-MFN,Weeplace,0.17418680715717105,0.16127873037025578,0.18785050011826762,SLR
1,CB-1H-MFN,BrightKite,0.2571777570367674,0.21141876984407512,0.3057076380022333,SLR
1,CB-1H-MFN,Gowalla,0.20077023866416058,0.17571508180120157,0.22699794479535268,SLR
1,CB-1H-MFN,Weeplace,0.1612851795749542,0.147983059909347,0.17515763992143019,SLR
1,SW-24H-MFN,BrightKite,0.26184187507474466,0.2133346219282314,0.3135352524438674,SLR
1,SW-24H-MFN,Gowalla,0.2119328647967678,0.18710141260994687,0.2379725880044473,SLR
1,SW-24H-MFN,Weeplace,0.17196893576743777,0.15891362473555795,0.18556655063328625,SLR
1,TFN,BrightKite,0.22256955883144106,0.18051828208169085,0.2680580454625473,SLR
1,TFN,Gowalla,0.19841912398713135,0.17300756976898982,0.2253534010484792,SLR
1,TFN,Weeplace,0.1579279106406092,0.1445460448875145,0.17189733232451362,SLR
2,CB-1D-MFN,BrightKite,0.4874184162520585,0.40396052781634484,0.5787420701966834,SLR
2,CB-1D-MFN,Gowalla,0.37522568709685744,0.33318975393584177,0.41858816455722186,SLR
2,CB-1D-MFN,Weeplace,0.30466802099895923,0.2848736817303106,0.32557030770324885,SLR
2,CB-1H-MFN,BrightKite,0.45607954772787823,0.3758098098838997,0.5442246291016384,SLR
2,CB-1H-MFN,Gowalla,0.3452026129640662,0.3043865170109918,0.38710346797449696,SLR
2,CB-1H-MFN,Weeplace,0.28227960025279303,0.26144681970159467,0.3040133964058061,SLR
2,SW-24H-MFN,BrightKite,0.4673426513215312,0.38133576515748496,0.5624653764143794,SLR
2,SW-24H-MFN,Gowalla,0.36475917189658874,0.32300124900223504,0.40746809394880035,SLR
2,SW-24H-MFN,Weeplace,0.29677852402733923,0.27607241195874005,0.31851137699688276,SLR
2,TFN,BrightKite,0.38086206017506646,0.3096619909767354,0.4583769377444659,SLR
2,TFN,Gowalla,0.3414660474943726,0.30102189508728744,0.3835995251500414,SLR
2,TFN,Weeplace,0.27536347200696065,0.25483001887003903,0.2960391090699982,SLR
3,CB-1D-MFN,BrightKite,0.6741597614582845,0.5569565677845387,0.8040855584727408,SLR
3,CB-1D-MFN,Gowalla,0.5035849606303391,0.4477779620305622,0.5614574938320993,SLR
3,CB-1D-MFN,Weeplace,0.41730771893156837,0.3904827570159671,0.44559692842903487,SLR
3,CB-1H-MFN,BrightKite,0.6467269275545269,0.5245671631845795,0.7760557040411582,SLR
3,CB-1H-MFN,Gowalla,0.4656078657869257,0.4097126921828671,0.5219017512861155,SLR
3,CB-1H-MFN,Weeplace,0.38001502898273104,0.3538442156400753,0.4078119958313663,SLR
3,SW-24H-MFN,BrightKite,0.6577739600001065,0.536628540299252,0.7887531060011871,SLR
3,SW-24H-MFN,Gowalla,0.4874891596518197,0.43301231565511,0.5445006652128479,SLR
3,SW-24H-MFN,Weeplace,0.4016414612274024,0.3731003904700343,0.4311081995666454,SLR
3,TFN,BrightKite,0.501393491027961,0.4138750901032952,0.598459887460128,SLR
3,TFN,Gowalla,0.4608712008106229,0.4052469500256938,0.5176780736795058,SLR
3,TFN,Weeplace,0.3727745907136168,0.3452886427598756,0.4007326221418664,SLR
4,CB-1D-MFN,BrightKite,0.8447766546003384,0.6976291677455085,1.0093765833731547,SLR
4,CB-1D-MFN,Gowalla,0.6170937839404816,0.5485208429428441,0.6900604110398509,SLR
4,CB-1D-MFN,Weeplace,0.52029734732052,0.4864893154238521,0.5564101780855203,SLR
4,CB-1H-MFN,BrightKite,0.8090395746900416,0.6589114396443104,0.9734696005003456,SLR
4,CB-1H-MFN,Gowalla,0.5711673176137682,0.5028572497962308,0.6435421106032229,SLR
4,CB-1H-MFN,Weeplace,0.470515180358021,0.43778162612145327,0.5048151647769975,SLR
4,SW-24H-MFN,BrightKite,0.8336288555554111,0.6805564494710284,1.002640706699113,SLR
4,SW-24H-MFN,Gowalla,0.6017141334255409,0.534769406678711,0.6712253083286327,SLR
4,SW-24H-MFN,Weeplace,0.49891643751046894,0.46442449519076223,0.5352741611762458,SLR
4,TFN,BrightKite,0.6117397924998607,0.503583160469769,0.7310404151833119,SLR
4,TFN,Gowalla,0.5638401768388395,0.49545259994442903,0.6380153376170649,SLR
4,TFN,Weeplace,0.4554116370665785,0.4228756723208103,0.4888566633991499,SLR
5,CB-1D-MFN,BrightKite,1.0140962095670423,0.827415378222161,1.2225655988072306,SLR
5,CB-1D-MFN,Gowalla,0.719234610720165,0.6370601651147917,0.8068467210764473,SLR
5,CB-1D-MFN,Weeplace,0.6126076456277832,0.5722512698091284,0.656017164045174,SLR
5,CB-1H-MFN,BrightKite,0.9624186938184327,0.7773882186160082,1.1628745033094436,SLR
5,CB-1H-MFN,Gowalla,0.663022148888137,0.5809549788346521,0.749239669153746,SLR
5,CB-1H-MFN,Weeplace,0.5586920420259442,0.5182726760766804,0.6002659329692058,SLR
5,SW-24H-MFN,BrightKite,0.9782935295008918,0.7935983481031473,1.1757081194471595,SLR
5,SW-24H-MFN,Gowalla,0.7031973816420344,0.6219667981607133,0.7871746126084733,SLR
5,SW-24H-MFN,Weeplace,0.5935064822529789,0.5526750893783957,0.6377878051982016,SLR
5,TFN,BrightKite,0.7010451689324093,0.5768337352571847,0.8388909738968265,SLR
5,TFN,Gowalla,0.6539792667745682,0.5718470803826375,0.7393971797017882,SLR
5,TFN,Weeplace,0.535168814641627,0.4970807057041799,0.5739467585134823,SLR
6,CB-1D-MFN,BrightKite,1.1459664765615365,0.9389471935491396,1.3757004339538628,SLR
6,CB-1D-MFN,Gowalla,0.8132279754127665,0.717933324436224,0.9134561197569933,SLR
6,CB-1D-MFN,Weeplace,0.699432420954211,0.6529700533729609,0.7499809869486829,SLR
6,CB-1H-MFN,BrightKite,1.1095542001749812,0.8960340129305275,1.3445667167721893,SLR
6,CB-1H-MFN,Gowalla,0.7536493064110608,0.6581578788837132,0.8524711497633838,SLR
6,CB-1H-MFN,Weeplace,0.6378096865345341,0.5905522985905066,0.6882400167694961,SLR
6,SW-24H-MFN,BrightKite,1.132031296374942,0.9162221610763543,1.3684334672533998,SLR
6,SW-24H-MFN,Gowalla,0.7984959457622077,0.7029584009211848,0.8958851388560459,SLR
6,SW-24H-MFN,Weeplace,0.6772237514749496,0.6272592142047114,0.7290893942373425,SLR
6,TFN,BrightKite,0.7593869475209222,0.625927010153805,0.900976745249339,SLR
6,TFN,Gowalla,0.7415933059334998,0.648198333642029,0.8409496944856316,SLR
6,TFN,Weeplace,0.6080740781982958,0.5631436185290214,0.6536033405459258,SLR
7,CB-1D-MFN,BrightKite,1.276758950238488,1.0427748212955743,1.5340660312946772,SLR
7,CB-1D-MFN,Gowalla,0.8978566916388923,0.7912344640837158,1.0079329703855113,SLR
7,CB-1D-MFN,Weeplace,0.7807088006069085,0.7275363652175383,0.8377969772008703,SLR
7,CB-1H-MFN,BrightKite,1.2000212601963725,0.9744965364110328,1.4519440188533004,SLR
7,CB-1H-MFN,Gowalla,0.8297574287564545,0.7230361861237158,0.9459974745155763,SLR
7,CB-1H-MFN,Weeplace,0.7110705412369989,0.6584032112737273,0.7677949924002565,SLR
7,SW-24H-MFN,BrightKite,1.2551003562192873,1.0143607880961165,1.5159926248142135,SLR
7,SW-24H-MFN,Gowalla,0.8876815582181676,0.7802385550277556,1.0005781636222078,SLR
7,SW-24H-MFN,Weeplace,0.7544605174730873,0.6993497849392933,0.814204181119537,SLR
7,TFN,BrightKite,0.8163411397423039,0.6764381059587267,0.968415642121979,SLR
7,TFN,Gowalla,0.8228938175645027,0.7163000998366522,0.9341632452713494,SLR
7,TFN,Weeplace,0.671687106952958,0.621505930838278,0.7227007083718154,SLR
8,CB-1D-MFN,BrightKite,1.3985212974352548,1.1357294747670055,1.6786495403325767,SLR
8,CB-1D-MFN,Gowalla,0.9837753439528085,0.8695314870452778,1.1041648451636872,SLR
8,CB-1D-MFN,Weeplace,0.8584864327150208,0.7985775481047758,0.9223831409554624,SLR
8,CB-1H-MFN,BrightKite,1.3175165196620962,1.060187730486756,1.6089683021442363,SLR
8,CB-1H-MFN,Gowalla,0.9056196493568158,0.7890248245139135,1.0321072305922618,SLR
8,CB-1H-MFN,Weeplace,0.7777631711475113,0.7170624500370616,0.8409910633741893,SLR
8,SW-24H-MFN,BrightKite,1.3726390657745284,1.1054923497088018,1.6624343291953436,SLR
8,SW-24H-MFN,Gowalla,0.9677413280349177,0.8506141033924743,1.0908270113674206,SLR
8,SW-24H-MFN,Weeplace,0.8279138304665464,0.7677091299003026,0.8937230950820204,SLR
8,TFN,BrightKite,0.865358524416044,0.7190620937806851,1.0256985106230139,SLR
8,TFN,Gowalla,0.9025382580877221,0.7809091777126669,1.0270932558348214,SLR
8,TFN,Weeplace,0.7304389141186203,0.6767296224149564,0.7845869003649296,SLR
9,CB-1D-MFN,BrightKite,1.5146394853150804,1.2279386259545455,1.8310269199261335,SLR
9,CB-1D-MFN,Gowalla,1.0643981228774657,0.9395731780684133,1.1973598626428217,SLR
9,CB-1D-MFN,Weeplace,0.9318827700252549,0.8649478062645206,1.001571123764835,SLR
9,CB-1H-MFN,BrightKite,1.4169789292887662,1.1373608014672583,1.7245465224040974,SLR
9,CB-1H-MFN,Gowalla,0.9718253789364422,0.8436708413473727,1.1061397293289852,SLR
9,CB-1H-MFN,Weeplace,0.8361294712544007,0.7719830129875626,0.9027496314478025,SLR
9,SW-24H-MFN,BrightKite,1.4901219621989403,1.1965763727849859,1.8093038387231408,SLR
9,SW-24H-MFN,Gowalla,1.041417554000127,0.9142806118091664,1.1764933600288943,SLR
9,SW-24H-MFN,Weeplace,0.8946398418406858,0.8255830715775202,0.9654526092459746,SLR
9,TFN,BrightKite,0.9033654586270632,0.7563218117696088,1.0699671168932063,SLR
9,TFN,Gowalla,0.9670288990811363,0.8378237182742132,1.1017571092897127,SLR
9,TFN,Weeplace,0.7812758705944406,0.7232299901566978,0.8419013862332043,SLR
10,CB-1D-MFN,BrightKite,1.603213043215475,1.3101376812544778,1.9320158825291924,SLR
10,CB-1D-MFN,Gowalla,1.1359760931433769,1.003055005122302,1.2777413144910017,SLR
10,CB-1D-MFN,Weeplace,0.9976784039574494,0.9266831125176075,1.0733443109142924,SLR
10,CB-1H-MFN,BrightKite,1.5244713760953497,1.2223981482283972,1.8617005378877827,SLR
10,CB-1H-MFN,Gowalla,1.0437885379514398,0.9064741557411903,1.1952490047710178,SLR
10,CB-1H-MFN,Weeplace,0.8982362357262936,0.8298137455135407,0.971851764482692,SLR
10,SW-24H-MFN,BrightKite,1.5948238009034414,1.2896416728964937,1.9367084492629747,SLR
10,SW-24H-MFN,Gowalla,1.1109183863993686,0.9768408629897302,1.2573747085936542,SLR
10,SW-24H-MFN,Weeplace,0.9554278929665107,0.8841408044292882,1.0322300358879803,SLR
10,TFN,BrightKite,0.9398291832446612,0.7911153786482011,1.1059824724674954,SLR
10,TFN,Gowalla,1.0331196700314873,0.8979323703557681,1.1811461413899673,SLR
10,TFN,Weeplace,0.8303012247140686,0.7665021167611394,0.8959485902948005,SLR
