included,category,dataset,mean,lower,upper
2,TFN,Gowalla,0.8577063829051239,0.7919942359130685,0.9325996878874722
2,TFN,Weeplace,0.6013432658497516,0.5773727644288207,0.6251325145155471
3,CB-1D-MFN,BrightKite,0.779054299904762,0.726783515873897,0.8301057388395685
3,CB-1D-MFN,Gowalla,0.9271711923559549,0.8573112271551983,1.0104248654593104
3,CB-1D-MFN,Weeplace,0.6866699842864926,0.6644753479036914,0.7090067787338206
3,CB-1H-MFN,BrightKite,0.7641307621303818,0.7150378093524516,0.8118436041587411
3,CB-1H-MFN,Gowalla,0.9019527911226244,0.8326770089625262,0.9818586681397834
3,CB-1H-MFN,Weeplace,0.6722751110549583,0.6488148290539718,0.6955747239394346
3,SW-24H-MFN,BrightKite,0.765619880529413,0.7108621457755437,0.8172037464420934
3,SW-24H-MFN,Gowalla,0.9279403558859242,0.8571373301260959,1.0128022153788447
3,SW-24H-MFN,Weeplace,0.667683693771317,0.6442336519317076,0.690218615770945
3,TFN,BrightKite,0.7515204319119546,0.7052898524648238,0.7960966018015656
3,TFN,Gowalla,0.8897424570818693,0.8295600211508781,0.9594919369634884
3,TFN,Weeplace,0.6603337888367418,0.6362599683884946,0.6844573929606997
4,CB-1D-MFN,BrightKite,0.791929511665989,0.7398192451613752,0.8428236975861682
4,CB-1D-MFN,Gowalla,0.9725093106091836,0.905312549874631,1.0528760263385957
4,CB-1D-MFN,Weeplace,0.7234073855300591,0.7013464035341807,0.7457731144885184
4,CB-1H-MFN,BrightKite,0.7940943378324786,0.7467870823606525,0.8395076257573892
4,CB-1H-MFN,Gowalla,0.9345162846646411,0.8687918570160444,1.011520528458749
4,CB-1H-MFN,Weeplace,0.7148515884715891,0.6928355189097223,0.7379045100881391
4,SW-24H-MFN,BrightKite,0.7720146247614856,0.7195872481894406,0.8237318090548864
4,SW-24H-MFN,Gowalla,0.9626628115463645,0.8941072525137428,1.0477272493370684
4,SW-24H-MFN,Weeplace,0.7030141590054991,0.6805670166326171,0.7261482740539219
4,TFN,BrightKite,0.7690539755075545,0.7241897349306233,0.8142654125312624
4,TFN,Gowalla,0.925302667944915,0.8662239377786112,0.9930532744137975
4,TFN,Weeplace,0.7089837573889969,0.685455785468784,0.7324237084046231
5,CB-1D-MFN,BrightKite,0.8013120660152052,0.7504909747080069,0.8509763191773958
5,CB-1D-MFN,Gowalla,1.0022917772718078,0.9327400860845492,1.0829647462953804
5,CB-1D-MFN,Weeplace,0.7522123252898198,0.7303711523127017,0.7742603293818189
5,CB-1H-MFN,BrightKite,0.807818223211891,0.7615775277631993,0.8534608304334295
5,CB-1H-MFN,Gowalla,0.961856883399094,0.8978695905088647,1.0379834596215693
5,CB-1H-MFN,Weeplace,0.7457835107529296,0.7239140564910619,0.7684457100390005
5,SW-24H-MFN,BrightKite,0.790055490956632,0.7392939852858084,0.8394763990797294
5,SW-24H-MFN,Gowalla,0.9866073105534936,0.9183245840578422,1.0687677212434672
5,SW-24H-MFN,Weeplace,0.7281213982478921,0.706158256519768,0.7504175980006335
5,TFN,BrightKite,0.780326240312033,0.7348051311411815,0.82427243761547
5,TFN,Gowalla,0.956083306175428,0.8975726502802315,1.024688834024138
5,TFN,Weeplace,0.745551970661894,0.7219110205396124,0.7689955252604733
6,CB-1D-MFN,BrightKite,0.8100062017200379,0.7614632470632652,0.8574017522840756
6,CB-1D-MFN,Gowalla,1.021494500017339,0.9537667360886092,1.1030253576402949
6,CB-1D-MFN,Weeplace,0.7765806153186539,0.7543117545565183,0.7994051514440111
6,CB-1H-MFN,BrightKite,0.8153822433205798,0.7683899057514444,0.8598568790848136
6,CB-1H-MFN,Gowalla,0.9922999206456832,0.9310235984471915,1.0630721160195262
6,CB-1H-MFN,Weeplace,0.7670536578385143,0.7440111724227805,0.7899034371700829
6,SW-24H-MFN,BrightKite,0.7983624141223222,0.7497358073319167,0.8449071306670124
6,SW-24H-MFN,Gowalla,1.009844240387458,0.9419324682882235,1.0894157087996006
6,SW-24H-MFN,Weeplace,0.7530724626269191,0.7308717287041937,0.7761224344447875
6,TFN,BrightKite,0.7913020497257374,0.7463216697234176,0.834584795109206
6,TFN,Gowalla,0.9816300472226281,0.9237070851423215,1.0496372826643667
6,TFN,Weeplace,0.773805302950551,0.7503267499607861,0.7971739326037152
7,CB-1D-MFN,BrightKite,0.8195379429959571,0.7714759622270543,0.8651811553191024
7,CB-1D-MFN,Gowalla,1.0436678692140444,0.9757384630251896,1.1222620282522873
7,CB-1D-MFN,Weeplace,0.7992449330293927,0.7770072477975913,0.8217696437291888
7,CB-1H-MFN,BrightKite,0.8189106751382866,0.7715910589920668,0.8632352465282774
7,CB-1H-MFN,Gowalla,1.0072319141816934,0.946918231102679,1.074494342361624
7,CB-1H-MFN,Weeplace,0.7875233245511974,0.7647079932188643,0.8102711591493982
7,SW-24H-MFN,BrightKite,0.8028908955554942,0.7546748159619008,0.8504747527072395
7,SW-24H-MFN,Gowalla,1.0254185365404722,0.9572787862897333,1.1043423422685743
7,SW-24H-MFN,Weeplace,0.7774639032529166,0.755557382886854,0.8003105440522643
7,TFN,BrightKite,0.7972288984788997,0.7531953066807844,0.8403472828310489
7,TFN,Gowalla,0.9957611555471959,0.9408590809296551,1.0581738026478054
7,TFN,Weeplace,0.7977297734580457,0.7744627496669294,0.8207942192638874
8,CB-1D-MFN,BrightKite,0.8308684768083016,0.7841925909646084,0.8749542875799299
8,CB-1D-MFN,Gowalla,1.0606058062208823,0.9924631323716527,1.1429835861900892
8,CB-1D-MFN,Weeplace,0.8179211103418177,0.7953238670857549,0.8402630800180921
8,CB-1H-MFN,BrightKite,0.827694196483462,0.7835050555382431,0.8702841714048349
8,CB-1H-MFN,Gowalla,1.01846571329084,0.9610799936139608,1.0792625973927423
8,CB-1H-MFN,Weeplace,0.8065997590794383,0.7833966454367479,0.8294196106944614
8,SW-24H-MFN,BrightKite,0.8132453334294222,0.7666694767713781,0.8580575991163116
8,SW-24H-MFN,Gowalla,1.0347703649155535,0.9699957599844556,1.1114828635532554
8,SW-24H-MFN,Weeplace,0.7927895941533387,0.770732312724737,0.8155446592319752
8,TFN,BrightKite,0.8025971759426586,0.7592308793490844,0.8438214370675139
8,TFN,Gowalla,1.0129084840594926,0.9580133514047185,1.0743702573697727
8,TFN,Weeplace,0.815848187339848,0.7922910268234753,0.8388925594778116
9,CB-1D-MFN,BrightKite,0.8341034703249856,0.7880896832621517,0.8779562213732526
9,CB-1D-MFN,Gowalla,1.0767836086203153,1.007575417953461,1.157325471196548
9,CB-1D-MFN,Weeplace,0.8331938855385286,0.8106775619432353,0.8558408440977968
9,CB-1H-MFN,BrightKite,0.841131620253792,0.7980464773064684,0.8820487160347786
9,CB-1H-MFN,Gowalla,1.0270471676614494,0.9725489655411477,1.085934490509118
9,CB-1H-MFN,Weeplace,0.8211034653974126,0.7981861495069664,0.8445568915347766
9,SW-24H-MFN,BrightKite,0.8184123297905057,0.7727042617771166,0.8626782290388192
9,SW-24H-MFN,Gowalla,1.0497264222106724,0.9831730704045769,1.1283298216166304
9,SW-24H-MFN,Weeplace,0.8077451173267409,0.7841998758410673,0.8312278170340104
9,TFN,BrightKite,0.8087419117387613,0.7658062974574847,0.8509552263205897
9,TFN,Gowalla,1.0272962236270662,0.9742269639728531,1.0877463874208302
9,TFN,Weeplace,0.8334020041616528,0.810104297862565,0.8566548299105213
10,CB-1D-MFN,BrightKite,0.8401138738080529,0.7950844783069704,0.8827090265451882
10,CB-1D-MFN,Gowalla,1.0860395729876127,1.0175400991563153,1.1676047079206522
10,CB-1D-MFN,Weeplace,0.8464271475099843,0.8239187658413072,0.8688722957714727
10,CB-1H-MFN,BrightKite,0.844376247167764,0.8014587272885634,0.8856996588806364
10,CB-1H-MFN,Gowalla,1.035908638445614,0.9813970312209409,1.0955481745826898
10,CB-1H-MFN,Weeplace,0.8334716957378936,0.8105643000177847,0.8561306317115809
10,SW-24H-MFN,BrightKite,0.8256653989729703,0.7807198032019066,0.8684913354247769
10,SW-24H-MFN,Gowalla,1.062901376232786,0.995475309109829,1.1425028776559238
10,SW-24H-MFN,Weeplace,0.8227829269225478,0.7995331442384619,0.8460935427926968
10,TFN,BrightKite,0.8136623449606086,0.7715804991719047,0.853801745537575
10,TFN,Gowalla,1.043968800308592,0.9915194484898331,1.1040257286983397
10,TFN,Weeplace,0.8482034676906077,0.8242597056128156,0.8718163692596127
