included,category,dataset,mean,lower,upper,LR
5,SW-24H-MFN,BrightKite,0.1535430498728579,0.1210400632789985,0.1899666499522721,USLR
5,SW-24H-MFN,Gowalla,0.27460489269070565,0.24933528804130597,0.30153584845888304,USLR
5,SW-24H-MFN,Weeplace,0.26589969613807196,0.24838716823019655,0.28366804608463947,USLR
5,TFN,BrightKite,0.22045311944809717,0.18658907903226732,0.2567561544880911,USLR
5,TFN,Gowalla,0.31095521703138507,0.28561357261233444,0.3363694947521626,USLR
5,TFN,Weeplace,0.31590761959363084,0.29900231313783243,0.332870289153634,USLR
6,CB-1D-MFN,BrightKite,0.17554860918446974,0.14428634723698483,0.21078032109218606,USLR
6,CB-1D-MFN,Gowalla,0.29820286068655044,0.2719849562948069,0.324531696839234,USLR
6,CB-1D-MFN,Weeplace,0.30349429153458285,0.28601550835797723,0.3211418960542121,USLR
6,CB-1H-MFN,BrightKite,0.20711603277949353,0.1734090076157768,0.24398599310395233,USLR
6,CB-1H-MFN,Gowalla,0.30980847903343744,0.28407757400185213,0.3362873325352162,USLR
6,CB-1H-MFN,Weeplace,0.308430286251729,0.2909532534885054,0.326905762015056,USLR
6,SW-24H-MFN,BrightKite,0.1739474147452632,0.14123855093458182,0.20960984376643893,USLR
6,SW-24H-MFN,Gowalla,0.2927297659977879,0.2669870701673029,0.31994596451760754,USLR
6,SW-24H-MFN,Weeplace,0.28630710864383396,0.268227037288796,0.3046966073468481,USLR
6,TFN,BrightKite,0.23318399604079906,0.19912120175550796,0.27009039804309515,USLR
6,TFN,Gowalla,0.32954601967956854,0.3035182249476358,0.35553587482568016,USLR
6,TFN,Weeplace,0.33787316970629416,0.3213871730792228,0.35498862035668893,USLR
7,CB-1D-MFN,BrightKite,0.18764456379727756,0.15565944047170147,0.22300711622186278,USLR
7,CB-1D-MFN,Gowalla,0.3135683958156554,0.28698950371654114,0.34029236033282456,USLR
7,CB-1D-MFN,Weeplace,0.318968877934225,0.30090901751015187,0.337131646104824,USLR
