Rank,category,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_ODLR,upper_ODLR,mean_ODLR,lower_CODLR,upper_CODLR,mean_CODLR
1,non-social co-location network,0.621513221622408,0.6600308199313518,0.6408619925858035,0.8166298801636269,0.8304896917418407,0.8234759801850915,0.7554782506367731,0.794194498544816,0.7752180119782016,1.0104414317620978,1.013049509331646,1.0117454942542958,2.6311197658083745,2.8803516361354546,2.754768856095241,1.5324332237635359,1.651289946516098,1.5923542979613614,0.212760146126629,0.24604835919704085,0.2291913933401328,0.2131472763154891,0.2462958217617282,0.2291913933401328
1,social network,0.6929269322404332,0.7225961730409557,0.7078008452213109,0.8181576679806659,0.8317407858451997,0.8249974540637534,0.8480142288792301,0.8756668723168028,0.8620649154085459,1.0125192874800477,1.015418385905985,1.0139727697305083,2.274813087527004,2.4895160226514528,2.381346451299169,1.525453131834649,1.6405407886708387,1.582339721244493,0.3877131969762857,0.4235515246395216,0.4051755561461757,0.3876518986725299,0.4229256411144546,0.4051755561461757
2,non-social co-location network,0.6939495846034412,0.722702682097925,0.7084870624584254,0.8226263991884891,0.8359693234334433,0.8292943689440381,0.8493800718458914,0.8772793686065635,0.863232295277749,1.0175875955181821,1.0208836977445066,1.0192379394187212,2.2652152224622535,2.4833180602027998,2.373079542720969,1.4920296878662453,1.6084379566526896,1.5499718708869108,0.22550095042859813,0.2566713950009622,0.24071923034490014,0.3213365591238079,0.3565019474165571,0.33850167313986534
2,social network,0.7480446222579843,0.7699995994204615,0.7591374542732922,0.8255799092417039,0.8382119034797102,0.831890138179429,0.9199320088464985,0.9378521175396743,0.9291570194870891,1.0212288367758664,1.02487532465558,1.0229942720808534,1.971609832917435,2.144250519915422,2.0559093476172206,1.475413552275881,1.590612409885032,1.5326287104993415,0.36689459383362605,0.40059176438899535,0.3836481491758715,0.508070466164695,0.542924335348607,0.5257465154168353
3,non-social co-location network,0.7254141980477924,0.7512857967108018,0.7384495665447811,0.8268346080187217,0.8400021665692455,0.8333532024218114,0.8899940722943444,0.9128485501423491,0.9017742555133194,1.0228080924767107,1.0263214776422334,1.0245444839708717,2.088127220894585,2.2856803147770353,2.1856724505334117,1.4633094781514513,1.5779787204962104,1.5202167845734245,0.2545488583881805,0.2885435619126749,0.2715987494478149,0.4124292282652175,0.4477005078559938,0.42953889450445004
3,social network,0.7737292838841284,0.7922650873491592,0.7830979097508324,0.8305912870058498,0.8429005800983936,0.8368226427502982,0.9538378271369573,0.9671115330817279,0.9605262780619005,1.0273466000508118,1.031582843287082,1.0294643798105156,1.8167402250433708,1.9718364437058924,1.893882259766658,1.443432705313059,1.5520498612385487,1.4964358802423445,0.3561447476702235,0.38938123710988093,0.37272990468903167,0.5836159367808632,0.6167961904279005,0.6001827093447374
4,non-social co-location network,0.7479167673319014,0.7709974245206161,0.7596607605745499,0.8300828660476532,0.8429844692434978,0.8366320307779449,0.9194800458846073,0.9383866176509839,0.929147705396199,1.0269072465460782,1.030849973899877,1.0288532124618377,1.9622914338733035,2.139770335270321,2.050232745530857,1.4394994435656772,1.5518758625803113,1.4959662186027505,0.2500274187691021,0.2814582938221014,0.26558021140178273,0.47336071251747974,0.5088612034345308,0.4906735373911428
4,social network,0.7886403208595266,0.8054079392038596,0.7970068486736663,0.8343977998052436,0.8464657143366986,0.8404077310207181,0.9727490727867667,0.984087278799631,0.978604038154871,1.0318011472242952,1.0365608708565681,1.0341664752513287,1.7246210519366174,1.86843700376771,1.7964609112520376,1.4167912382603831,1.523297588520068,1.4698335473958297,0.34925410743649615,0.38177332471057857,0.36556604090496647,0.6346559672145933,0.6662481539071307,0.6504628062061456
5,non-social co-location network,0.7606918233732645,0.7818222578244892,0.7714075532056016,0.8327773351085414,0.8454680081078065,0.8391433768761344,0.9358336914172852,0.9526258548261508,0.9444532224466209,1.030060749973784,1.0342686018858782,1.0321218413208908,1.8857134362239014,2.0576144792974165,1.9720280399827965,1.4216434540057385,1.532606693264614,1.4774367543520037,0.2502791486418265,0.28248841236123357,0.26619248816096697,0.5174845939252413,0.5520787037297253,0.5346247461150255
5,social network,0.7998011921022231,0.8154823844850935,0.8078114085888821,0.8377719731623174,0.8495505518009856,0.843709037748347,0.987668910061086,0.9973751165746183,0.9925656767073888,1.0360018871013397,1.0410661289671677,1.038472356578056,1.6519446407769371,1.786385930554389,1.718524268378839,1.3925902671590251,1.4968864339604695,1.4449766874392325,0.35040661170834586,0.382416829756233,0.3660642541050164,0.6776124316902998,0.7062241543760287,0.6920605422725561
