userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,Pi_alters_ratio,Pi_ego_alters_ratio,a_Pi
901F1C82D57B923B6F378D96FC0F9A9A,0F3B1F71359274DE14EF1B81061B16B9,1008,3567,1.7103908440285571,0.8063237080701045,128,1,1.7103908440285571,0.8063237080701045,1.3205624911348555,0.8583887598374149,1.3205624911348555,0.8583887598374149,1.3438987061300787,0.8553783580560301,0.3783783783783784,0.3783783783783784,social network,0.9426515184492049,1.0035193803455893,0.8270635385257258
906DF32E944F278B55EABDC83C501255,9261D94BE7464AF9993065CCABDF43CF,1036,4056,1.437540663794479,0.8439722543424577,69,1,1.437540663794479,0.8439722543424577,1.0149612624962387,0.8970055568702875,1.0149612624962387,0.8970055568702875,1.0718369925307927,0.8901359996131507,0.39473684210526316,0.39473684210526316,social network,0.9481385481648248,1.0077174243712448,0.9308020080121895
90E18A4DB435F4314E26647CBAB762BB,AF07B0829500CE67564FB59CAA18B0A3,824,473,4.684628530067866,0.4081304424771694,32,1,4.684628530067866,0.4081304424771694,2.440414501559269,0.742016653954395,2.440414501559269,0.742016653954395,2.4570884287885635,0.7398742746793125,0.14102564102564102,0.14102564102564102,social network,0.5516213449292685,1.0028955990881168,0.8900522529571676
90E5D25AF606AE83A9A8B0BE24E4FD6A,877B10C600EB426AE5CCD75260EF813E,533,4240,0.5470227122935908,0.941877746104301,78,1,0.5470227122935908,0.941877746104301,0.5190535911427829,0.9453859918067796,0.5190535911427829,0.9453859918067796,0.6600029681428419,0.927293095370882,0.1875,0.1875,social network,1.015728199429314,1.0195115185546175,0.9815450400444735
917CA90EE7C13D8FD16A3258EC537D7C,78FF356B9F37A4A271F3C3D2FE8F64EF,508,1224,1.7169397716306383,0.7965779945808078,21,1,1.7169397716306383,0.7965779945808078,1.3578164761734441,0.8473754695576411,1.3578164761734441,0.8473754695576411,1.4104797147717587,0.8401526384082866,0.26666666666666666,0.26666666666666666,social network,0.9481348485555753,1.0085970463212952,0.8914933666043855
91A1DCDE59A001A64CB077B6C9985F7B,A8438BEE2DE13254964970716ACDB342,839,925,3.973300750008493,0.509803109848995,35,1,3.973300750008493,0.509803109848995,1.856001465098552,0.8097581110127435,1.856001465098552,0.8097581110127435,1.9761622990155387,0.7949005189382308,0.25,0.25,social network,0.6413420267104017,1.018691133947627,0.8071981296348766
91EF7F95DA9F4F647A5B55F0C5E5252B,9ADE6CC46B502F94800F6E98B8E36E34,455,2556,1.3268067407775592,0.8264040010856339,45,1,1.3268067407775592,0.8264040010856339,1.1505282234551175,0.854799449815858,1.1505282234551175,0.854799449815858,1.2827287294117327,0.8336355499730151,0.6666666666666666,0.6666666666666666,social network,0.9913252873061672,1.025387472791351,0.7784749388443944
9261D94BE7464AF9993065CCABDF43CF,75679E53DF81925210EC2E7F30F5B079,1069,12209,0.880284352555168,0.914043168815264,150,1,0.880284352555168,0.914043168815264,0.7188602142164408,0.9321589173113866,0.7188602142164408,0.9321589173113866,0.7311902994009932,0.9308020080121895,0.43902439024390244,0.43902439024390244,social network,0.9819952696140875,1.0014577851009312,0.9355495966038487
92A534F1811E2B164FEF1DFF35FDDC0D,C15A4FFF2565B68CEB34F5A3E80BE0E8,1195,2255,3.144992475490896,0.654423191826515,46,1,3.144992475490896,0.654423191826515,1.5014999201713615,0.8577874486930391,1.5014999201713615,0.8577874486930391,1.533641045106955,0.8542086358793712,0.29069767441860467,0.29069767441860467,social network,0.7661163377876815,1.0041896237796561,0.9251784604779574
93080F07C7BD94160E1802884CF6C5C8,9DC153053ECECA707442547404FBE433,2231,11106,1.0142536590788005,0.8623736616543509,257,1,1.0142536590788005,0.8623736616543509,0.8337435369911236,0.8923959035948269,0.8337435369911236,0.8923959035948269,0.8393452538317574,0.8914945991609958,1.0,1.0,social network,0.9673347011478799,1.0010110038071787,0.8043090763889851
951D00ECB34910CD413DA907CED199DE,F453448AEEA0BF19D12F7F2F08DD2DEE,555,3511,1.409268678813979,0.8606165260243288,70,1,1.409268678813979,0.8606165260243288,1.2734748472865007,0.8763069744708449,1.2734748472865007,0.8763069744708449,1.3802599655907142,0.8639984704505774,0.2903225806451613,0.2903225806451613,social network,0.9960857055400979,1.0142459789469866,0.8717898379812217
953C136BE4C8573708ACACD41811F6C4,8BE778D59493836FACEBEDC044CD3AC4,686,861,3.1590884448349343,0.5923784320483431,31,1,3.1590884448349343,0.5923784320483431,2.513583880059578,0.6961888504182134,2.513583880059578,0.6961888504182134,2.663458733052548,0.6730457338483715,0.5,0.5,social network,0.8801458834917721,1.0343856522758315,0.8321101698310595
98A23BE95677898CCFB9D87836B3D57B,90E5D25AF606AE83A9A8B0BE24E4FD6A,272,192,4.682215329144934,0.30486112575383034,20,1,4.682215329144934,0.30486112575383034,2.4190334957440363,0.7148642847564053,2.4190334957440363,0.7148642847564053,2.583601031034832,0.6903017832526896,0.13333333333333333,0.13333333333333333,social network,0.4416345620857738,1.0355822657562574,0.927293095370882
98A34A0FD9DE2C9348BEEA07F19ADA87,0EAF97D31A8ED43ED6190F55DE93F87D,980,5706,1.3408339162989744,0.8609556219236191,51,1,1.3408339162989744,0.8609556219236191,0.8550709257825464,0.9182000717910844,0.8550709257825464,0.9182000717910844,0.8588441037721563,0.9177782059455796,0.35555555555555557,0.35555555555555557,social network,0.9380868017415857,1.000459659907777,0.8833710339301774
99B5142F6648BF9A2C43DE623659FDBC,B14A8AC680F1DCE2F546E7CA2D47B3CC,903,4016,1.419982385199042,0.8484834877217518,88,1,1.419982385199042,0.8484834877217518,1.232726000302776,0.8720504730728451,1.232726000302776,0.8720504730728451,1.3677804736450048,0.8551375365179572,0.4634146341463415,0.4634146341463415,social network,0.9922187384928743,1.019778030822686,0.8944944938843065
9A6BFF0598CD380A17FF3EF3C20FB18E,9B6BD770F94C94DB589094EB68BD9656,736,1064,2.7370452390175726,0.6941441155761605,26,1,2.7370452390175726,0.6941441155761605,1.7109266149972922,0.8269126954134831,1.7109266149972922,0.8269126954134831,1.790342657346297,0.8172897994870006,0.43283582089552236,0.43283582089552236,social network,0.8493243351524311,1.0117741539568004,0.7861197005380358
