userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,a_Pi
934985F35CAC57812579432052D42C2A,AA75FB4E8F46803B9B67910E3294845A,479,5318,0.41253530841815456,0.9457741836028855,100,1,0.41253530841815456,0.9457741836028855,0.3516931423218698,0.9554788183214336,0.3516931423218698,0.9554788183214336,0.3450002723917876,0.9565178560876463,0.4,0.4,non-social co-location network,0.9579206208963484
93673C8FD56A40F818F72D483775BFBE,4758A9D9E10C2D2E016CD7EE446C0D37,169,493,2.936787327328789,0.6557518892350662,16,1,2.936787327328789,0.6557518892350662,1.9736510477693825,0.789061867778,1.9736510477693825,0.789061867778,1.9974678355558748,0.785977946298832,0.13793103448275862,0.13793103448275862,non-social co-location network,0.8874598893710569
9367F7559156A5F86405E8FD38EE3B8F,D85C02F863DD5A6709BCA9E8E6F1F353,516,985,1.5959734153297658,0.7960740632002306,28,1,1.5959734153297658,0.7960740632002306,1.1308908304363967,0.8669557258468309,1.1308908304363967,0.8669557258468309,1.0944015606996647,0.8721796587373791,0.15,0.15,non-social co-location network,0.7858509561958339
93693DAE593D910B02065EF177F40075,AD7444E030B1B5306C15FE7D739DADE7,174,255,3.3525327384318624,0.5105717638642094,9,1,3.3525327384318624,0.5105717638642094,2.1555214195206434,0.7274215821458145,2.1555214195206434,0.7274215821458145,2.271985978286184,0.7085014785604141,0.3103448275862069,0.3103448275862069,non-social co-location network,0.5490856370046666
93722FFC366ABB5A6BB58659B390E6A1,A7D7FC3B6507E85F0F9C71DDB0E2B5A1,268,133,5.191728647807358,0.22379959049502327,9,1,5.191728647807358,0.22379959049502327,3.3221431752511243,0.5886398047606447,3.3221431752511243,0.5886398047606447,3.4101751610328916,0.574383832017842,0.11320754716981132,0.11320754716981132,non-social co-location network,0.9594746792330023
93747D13F7838915A99D1D188A69B59F,500DC4DF4AF36702ED7F5003362F3F51,636,1752,1.844343404825685,0.6484052740490076,115,1,1.844343404825685,0.6484052740490076,1.2013368446637471,0.8081314842697296,1.2013368446637471,0.8081314842697296,1.2263655645053886,0.8027309472533811,0.7142857142857143,0.7142857142857143,non-social co-location network,0.8155969777266467
937DBFBD339F2C34E61AC41DE2792934,9DC153053ECECA707442547404FBE433,2254,1024,2.325259377667744,0.4215652724467708,83,1,2.325259377667744,0.4215652724467708,1.9456926175263916,0.5839193509078972,1.9456926175263916,0.5839193509078972,1.762926605661863,0.6449410190840709,1.0,1.0,non-social co-location network,0.8043090763889851
9388787B498575EF48612A876AC4B75E,DFD70A07FBA09C6396AC4B28346BA9D4,222,334,3.035119889456257,0.5690883153189245,19,1,3.035119889456257,0.5690883153189245,2.2540664671983106,0.7089363031719951,2.2540664671983106,0.7089363031719951,2.606792957449531,0.6484912303094712,0.2857142857142857,0.2857142857142857,non-social co-location network,0.8420982404492002
9389A2E58B4A8B8AFE12B26D0CDF790C,4DEE0B671BC57AD0A053C1F8F20C17A5,901,208,4.619878732622808,0.11776261470934232,8,1,4.619878732622808,0.11776261470934232,3.295018760828487,0.5057738952448887,3.295018760828487,0.5057738952448887,3.153383598894056,0.5355099455959665,0.6153846153846154,0.6153846153846154,non-social co-location network,0.8012025620047838
938FA54E023199DC0B3F87B810E5DFD2,B43BB2A5280D68AC78B6220154D0CB96,633,791,1.6073490456296218,0.6916147602697541,51,1,1.6073490456296218,0.6916147602697541,1.3445172115141935,0.7619500507770578,1.3445172115141935,0.7619500507770578,1.2780685229764035,0.7782909189360564,0.6666666666666666,0.6666666666666666,non-social co-location network,0.7949251426188839
9405E330CF224380A96DECB303526CFD,B120B16E463D680430190F4A4A112620,377,1795,1.4724589142293412,0.7835895022714534,84,1,1.4724589142293412,0.7835895022714534,1.279355202770311,0.8197583497714488,1.279355202770311,0.8197583497714488,1.3982232860707342,0.7977579230143723,0.45454545454545453,0.45454545454545453,non-social co-location network,0.7659791513587744
940AB7E861FF9E4912BE2C0634B537D5,6C7B1C361ECBDFC029B002C82BACA1EF,1014,375,5.395724554868586,0.2130438825606232,25,1,5.395724554868586,0.2130438825606232,3.242110892544081,0.6140180200836236,3.242110892544081,0.6140180200836236,3.118481254197619,0.6326545739681123,0.47540983606557374,0.47540983606557374,non-social co-location network,0.8526276904526773
94121D93E43B6B5CA36F35932492445E,143F1B1C64598BD2B5BE56C8363FAA10,309,1873,0.9009522751017595,0.8519691309335483,31,1,0.9009522751017595,0.8519691309335483,0.7709353162542688,0.8796768543024776,0.7709353162542688,0.8796768543024776,0.8420022835363187,0.8647842592349504,0.6,0.6,non-social co-location network,0.9431884135837764
94133BFD2EB7D18E8A54F870B75D674F,4E3A12B149A37AE73403CDDB5D5B8294,196,543,1.9387788114213291,0.7350796547428277,21,1,1.9387788114213291,0.7350796547428277,1.6075070860969765,0.7915866340693238,1.6075070860969765,0.7915866340693238,1.8454378413185666,0.7514445972417414,0.47368421052631576,0.47368421052631576,non-social co-location network,0.783972661826979
9416E26C5A6CE9658B28E2F2557565E1,F4650FC189DA098CD1DE1C21D4022FF5,211,91,5.5254116069185795,0.05612982366360772,9,1,5.5254116069185795,0.05612982366360772,3.0920074868503766,0.6143643766299565,3.0920074868503766,0.6143643766299565,3.143918857222767,0.6059506858178929,0.1702127659574468,0.1702127659574468,non-social co-location network,0.8645443754837194
942584B82993B1DC45EA33C80F096971,4051B2B9B9152810F97F34D2030F9778,170,245,3.764208648278792,0.46463027260946316,10,1,3.764208648278792,0.46463027260946316,2.802611010429627,0.6402075074202529,2.802611010429627,0.6402075074202529,3.014473693130837,0.604238629981731,0.32432432432432434,0.32432432432432434,non-social co-location network,0.6430832636096965
942D030267C545C2D418C2971D0FC4F4,45676C4A554EFDB30B6008CDEEC9200F,365,197,4.6030923442285125,0.09442876941676251,19,1,4.6030923442285125,0.09442876941676251,2.7583309221065226,0.6089677014838432,2.7583309221065226,0.6089677014838432,2.8574476345918445,0.5897822563101003,0.12,0.12,non-social co-location network,0.6715807056532629
