included,dataset,mean,lower,upper
1,BrightKite,0.8529662949371412,0.8258852435388704,0.8798998433082983
1,Gowalla,0.8805002804486717,0.8214383445111886,0.9471092618025738
1,Weeplace,0.6591043430892428,0.6478854719372592,0.670580664357897
2,BrightKite,0.8705373998390038,0.8450090791242598,0.8955134535724724
2,Gowalla,0.9404260056443289,0.8857253674516293,1.0060062580133118
2,Weeplace,0.6903347587401373,0.678374407181714,0.7023489718430228
3,BrightKite,0.877781925873595,0.8527298025039818,0.9019292566960796
3,Gowalla,0.9747933484363541,0.9179182261797371,1.0421300953006334
3,Weeplace,0.7129865852704156,0.7002905641822385,0.7254696825320307
4,BrightKite,0.8802207135779081,0.8553178516939742,0.9035943579376841
4,Gowalla,0.9930930936467429,0.937397264907041,1.0581656361029546
4,Weeplace,0.7342555443100272,0.7209896203115038,0.7471969113964398
5,BrightKite,0.882630037934868,0.8578537691536204,0.9062048995131242
5,Gowalla,1.0099633661386775,0.9553838077256693,1.0737481809154799
5,Weeplace,0.749335684038843,0.73605208951589,0.7624580943902792
6,BrightKite,0.8845540827843485,0.860130597142792,0.9083234970681185
6,Gowalla,1.0260856923640986,0.9714604611223813,1.089116993614274
6,Weeplace,0.761611450966467,0.7479384779041959,0.7751547246434177
7,BrightKite,0.8851349061925263,0.8603378208115252,0.908939357817563
7,Gowalla,1.0360955755452717,0.9826030571206164,1.0983201087164864
7,Weeplace,0.7729177928199182,0.7589429275164009,0.7869657805893735
8,BrightKite,0.8864718177032822,0.8618221221764415,0.9099916361265691
8,Gowalla,1.0424977410878071,0.991721491388444,1.0989250339853691
8,Weeplace,0.7830442095362219,0.769159679075343,0.7970134416121597
9,BrightKite,0.889161770094696,0.8647180391603025,0.9125573632109013
9,Gowalla,1.0433331798862409,0.9962217141194338,1.0915468271484985
9,Weeplace,0.7928755369858608,0.7788781630706144,0.8075849449367073
10,BrightKite,0.8891411040696866,0.8639925619254244,0.9128001551142274
10,Gowalla,1.0487266524444865,1.0022916433674571,1.097124521958372
10,Weeplace,0.8007755121510436,0.7865149263506754,0.8151224317742578
