Rank,category,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_ODLR,upper_ODLR,mean_ODLR,lower_CODLR,upper_CODLR,mean_CODLR,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio
1,non-social co-location network,1.0197719703956811,1.0260737309749917,1.022900015453363,0.12711038978195988,0.1531728700698152,0.13993479891283647,0.4681458313232864,0.49266624642907353,0.4801038929317977,8.233344190534728,8.465162528465049,8.3531925772459,5.583901158494469,5.839440775258714,5.714004951716067,0.0725490742827185,0.08929261979038876,0.08069844066000405,0.07267374310509833,0.08918093574264184,0.08069844066000405,0.2768048061959745,0.3309324929857011,0.3034983844684421
1,social network,1.038439295248848,1.0511143981357074,1.0445563534192146,0.1745077381032663,0.20518753625603017,0.1897524138090453,0.477786458056407,0.5015114300903266,0.48909616960804037,7.883570129512689,8.145607878639948,8.014418921502516,5.510081146554271,5.756967370781156,5.6349258821005055,0.14942831369949752,0.18464683151444722,0.16670389831658294,0.149377266410804,0.18523465171005027,0.16670389831658294,0.3772883892665696,0.4441751030666622,0.41053384278568217
2,non-social co-location network,1.036384087833994,1.0456575807197899,1.0409355344594629,0.16846026746243642,0.19029825774228348,0.1792555433665453,0.4759105319972573,0.49990336007172287,0.4877021207333473,8.007220648945259,8.22610944007725,8.118741496296854,5.517243418799042,5.771597403229471,5.647279620070295,0.057500886246499315,0.07173783514935159,0.06433789702359714,0.11217362250084473,0.13466348587591423,0.1231904759289533,0.3682651880563884,0.415227020143237,0.391659792764977
2,social network,1.0619147396141935,1.0772287367508937,1.069265007395711,0.2398765709428392,0.26711667089309044,0.25331836192462315,0.48839666026168344,0.5114669019924624,0.4997432265778896,7.449966735690076,7.709344373075001,7.581025607472361,5.4142208261496245,5.656804198816582,5.539414081140704,0.11012662771783918,0.12838117433467333,0.1192853003517588,0.21653270654748746,0.255285240361809,0.23532942887939698,0.5200727857960494,0.578060510204997,0.5488320369048706
3,non-social co-location network,1.0476310904068455,1.0590009087450876,1.05311245118143,0.19295960330884637,0.21443580597920672,0.20342833278797365,0.48127596073469575,0.5049397998648174,0.49293557123572723,7.842389940565531,8.064656078688927,7.955042716822379,5.480256678887356,5.721611577539623,5.600472656737226,0.05427361586702102,0.06776176999671123,0.061007363158255376,0.14368273002325938,0.16878826324821067,0.15639375317927665,0.42130732370776913,0.46713786436478216,0.4442127632765286
3,social network,1.0778490068066722,1.0948948168569335,1.0862370251162288,0.27773920053542717,0.3034607700866834,0.29040752907035183,0.4958573403919598,0.5186179064677136,0.5070239531055275,7.174969624212187,7.42741632161696,7.302328417527634,5.352478700270603,5.591983187506658,5.4739018023266315,0.09582592545276379,0.11393831726017586,0.10478199613567835,0.26102072842474877,0.30002147414170854,0.2803203561407035,0.6026495333766786,0.6593895804007182,0.6308918394831131
4,non-social co-location network,1.0583186713812198,1.0714733103748573,1.0647403222231262,0.21415655416214194,0.23499282969614232,0.224494316647515,0.48641030540040103,0.5096268959943032,0.4978938680666212,7.693458708483761,7.917618285549095,7.807133388994381,5.430185090117888,5.674542438142997,5.556014259682184,0.054165189556836205,0.06844135627143125,0.06109043511971624,0.17060524471079722,0.19826496222786164,0.1843783253738466,0.4677792528072801,0.5129739630984546,0.490321271737161
4,social network,1.0913169430122183,1.1101635188491523,1.1003152075504556,0.30246454998479905,0.3278033543501256,0.3149176541608041,0.5022795957139448,0.5238851071839196,0.513085948361809,6.988103253975628,7.239534065495225,7.113330267231157,5.297361599894599,5.532903433819597,5.418984338552762,0.08356996861268845,0.10090604811934675,0.09225644845226129,0.29109384108266334,0.3324209771203518,0.31153496092462307,0.657628281252551,0.7124901621458605,0.6844383935957554
5,non-social co-location network,1.0668871149621966,1.0813381306086418,1.0739216191954186,0.22997539398276837,0.2514953315795737,0.24037478740399065,0.4903292751947578,0.5134381000055144,0.5018322153820567,7.575701065509046,7.799705311196705,7.688840468796326,5.40092833597429,5.639423223906074,5.520121322706513,0.04616721385894881,0.05788894618372274,0.05200932108751283,0.1888359084994553,0.2180913905567496,0.20352114786244252,0.5014755196908116,0.5491873236389089,0.5252596058695862
5,social network,1.1018501928356244,1.122217967308698,1.1117330461266708,0.32074277929811557,0.34507465899045225,0.3329037512060302,0.5073370490944724,0.529115241767588,0.5180114103417085,6.8484247579775115,7.097535372756281,6.972643676125627,5.258097842777512,5.4865775478492465,5.374380843442212,0.08302275092525127,0.10134168293190954,0.0921265571306532,0.31627320584798996,0.3596974537321608,0.33755515383417084,0.6966193753613793,0.7505301338474273,0.7237326477137488
6,non-social co-location network,1.074388264873745,1.0900241373309034,1.0820124150511163,0.24317625405781623,0.26482626622176897,0.2538593638900988,0.4940414200936052,0.5170518470257129,0.5053224132401472,7.471411970688778,7.696515911049173,7.587139945665073,5.364679802982875,5.604269174630474,5.488179721745219,0.043435169825761094,0.05485730076480448,0.049003430887300865,0.20406213943710372,0.2348637136355411,0.21948991217463626,0.5303550995916183,0.5795750355800002,0.5545680718267127
