userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,Pi_alters_ratio,Pi_ego_alters_ratio
00CE7F32CB6B7A3577EA93DE08496E27,15A83E1100CED2ADE6B3C0792F3448A7,1122,1967,2.5322960183521412,0.7048742825399382,84,1,2.5322960183521412,0.7048742825399382,2.067269072686764,0.7702888249615294,2.067269072686764,0.7702888249615294,2.3637218624120093,0.7291079725668002,0.52,0.52,social network,0.9667625496652463,1.0564811440063582
00CE7F32CB6B7A3577EA93DE08496E27,15D4EF699C0FD3AF864017864B533900,1052,1642,2.869404713258177,0.6545707359236124,81,2,2.435673296660249,0.7188378625725693,2.2177376737068597,0.7496135014782055,2.0550691411346618,0.7719448379154117,2.3637218624120093,0.7291079725668002,0.44,0.56,social network,0.9859141438845124,1.0587524303126268
00CE7F32CB6B7A3577EA93DE08496E27,D05BC58E69243459E909A8AB7ED65BD0,681,1485,2.9099002270936807,0.6483570041822213,55,3,2.2007798329670747,0.7519668732841751,2.2514965181988567,0.7449108619036621,1.9904571703752305,0.7806645414469152,2.3637218624120093,0.7291079725668002,0.56,0.76,social network,1.0313518732169407,1.070711843540281
00CE7F32CB6B7A3577EA93DE08496E27,FE813BF3D1D757442B86B7CD13A227A1,396,1286,2.9434620129188196,0.6431785464095894,48,4,2.1395945753997307,0.7604088400946079,2.186485758011648,0.7539459729069302,1.9500042001321407,0.7860804929833799,2.3637218624120093,0.7291079725668002,0.5,0.76,social network,1.0429303597073751,1.0781400321491614
00CE7F32CB6B7A3577EA93DE08496E27,26B9871EE3EF46E0FC3FF930E8DA760F,1087,876,4.360863889486312,0.39579689648373517,41,5,2.14560309296534,0.7595832270992042,2.446109734345491,0.7173391561977526,1.9665162993305105,0.7838738416858053,2.3637218624120093,0.7291079725668002,0.28,0.76,social network,1.0417979993074509,1.0751135238944154
00CE7F32CB6B7A3577EA93DE08496E27,2D298809ACD5D9105CE61672B096FD4D,410,1884,2.2017101955452762,0.7518379132379942,27,6,2.04642612864244,0.7731161952328534,1.9800205085104827,0.782065025371552,1.8917520781897028,0.7938207954343628,2.3637218624120093,0.7291079725668002,0.38,0.76,social network,1.0603589925249668,1.0887561586245496
00CE7F32CB6B7A3577EA93DE08496E27,BBD9436E0524D277F513FA0F6AD2C796,270,959,3.4974227930938797,0.5537144400698396,26,7,2.01779073389518,0.7769861460520561,2.2471148187690204,0.7455225662926409,1.8699390547278265,0.7967014047836122,2.3637218624120093,0.7291079725668002,0.42,0.78,social network,1.0656667808976255,1.092707026613427
00CE7F32CB6B7A3577EA93DE08496E27,8B0AB9D63AFABE82A935B19035491A84,184,810,3.451665197203945,0.5614069051635036,19,8,1.9818828216222026,0.781815286585911,2.24342682786337,0.746037118355881,1.8479523214039153,0.7995951262206872,2.3637218624120093,0.7291079725668002,0.46,0.8,social network,1.0722901353465613,1.096675878341776
00CE7F32CB6B7A3577EA93DE08496E27,38CC0119FD098A6D7F6264FA4E173DE5,191,630,3.818546810978645,0.4980046382890853,11,9,1.952542569786245,0.7857416309978922,2.21466802478034,0.7500399399523441,1.8264826480540004,0.8024112702293942,2.3637218624120093,0.7291079725668002,0.34,0.8,social network,1.0776752697295506,1.100538329603683
00CE7F32CB6B7A3577EA93DE08496E27,A133E8EE0A836FACEBC9BA8E05B9F7B2,315,425,5.056076877535653,0.24155206648813127,11,10,1.9307417558146924,0.788647667586767,2.2879744019693966,0.7398029660278335,1.8121056375472162,0.804291815758601,2.3637218624120093,0.7291079725668002,0.28,0.8,social network,1.0816610121685535,1.1031175710877479
