Rank,category,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_ODLR,upper_ODLR,mean_ODLR,lower_CODLR,upper_CODLR,mean_CODLR
1,CB-1H-CN,0.3044824135952074,0.33671791954674885,0.3204461667615636,1.01262709407754,1.0168337370342222,1.0147255032139615,0.15746105076294725,0.17714996771931293,0.16723449565550677,0.5133786000930426,0.5323933163860062,0.5228904217211119,7.7009823533035755,7.915377806323929,7.807814300211909,5.029359551707851,5.239587020541932,5.13663915560754,0.07054852338237332,0.08087177308985623,0.07564912546243996,0.07046251911556792,0.08103079705223072,0.07564912546243996
1,SW-1H-CN,0.2908969850313619,0.32177163695620936,0.30614046531558914,1.0114027302225088,1.0155390628703598,1.0134942960501303,0.15093850154546012,0.17031996568197516,0.1603828488441516,0.5130278909132117,0.5318014435162075,0.5223209495399451,7.744551037372102,7.959779312596597,7.853154552397424,5.0347370517158225,5.245286802017089,5.141697186747992,0.06478388341614291,0.07469996061673372,0.06961728150058803,0.06472738419199604,0.07475682400297083,0.06961728150058803
2,CB-1H-CN,0.38419020959978406,0.41226330675083384,0.3985296131284569,1.0249184618484188,1.0306876454314826,1.0278257696160473,0.19766990317254135,0.2163173391683107,0.20683976715713157,0.5191740273894822,0.5380092515124762,0.5286311384460856,7.467392534507109,7.688526684548333,7.581534729034142,4.981075705088097,5.189285101290695,5.085979166159939,0.06156256491742725,0.07078428367228287,0.06611715840083995,0.11121378156744928,0.1245987290251502,0.117823961267223
2,SW-1H-CN,0.3616565479208901,0.38890863809973214,0.37505690977938105,1.0223221061732741,1.027994815022961,1.0251370980625458,0.18768918560497164,0.2061495986710169,0.19674341088655245,0.51810648761544,0.5368109940909609,0.5274135340014314,7.536831112110695,7.758685009656763,7.649992559057627,4.991482046916429,5.200083329460137,5.096412401667016,0.05881141556896908,0.06838473969698988,0.06355206858060816,0.10408092034395702,0.11762141838086836,0.11076556195786802
3,CB-1H-CN,0.4292783769457579,0.45695193027594005,0.4428816616388507,1.0343817973557619,1.041178449289139,1.0377449143872277,0.21987630305674621,0.23845366661955208,0.22913995742652998,0.5240439252297804,0.5421722254861889,0.5330770871348356,7.325915593197293,7.546816426803248,7.437221541444566,4.94373072968513,5.146900301716843,5.0466122436877034,0.059967305668193846,0.06878051346300111,0.06431841475323706,0.14280168926613862,0.15830248303391145,0.15049066555184262
3,SW-1H-CN,0.4172224258498118,0.44440198408697656,0.43088277478053555,1.0324990096689617,1.0396740552640396,1.0360442976626518,0.2146108629833367,0.23376562424049724,0.22405972495034737,0.5232537108380817,0.5414773153282285,0.5322318873594286,7.3607187148971,7.581522802929537,7.473507424378735,4.95128175546852,5.159102131021319,5.054342509154671,0.05747318296890589,0.06642291315230947,0.06181351245590035,0.13567129006960418,0.15073076852549136,0.14315498580386674
4,CB-1H-CN,0.4701411577308897,0.49766867619056704,0.48410692545392053,1.0431585853062413,1.0508621695961398,1.0469884237233391,0.2406545180514859,0.25907581570803595,0.2497625783882283,0.528461240217672,0.5464294736714409,0.5372546902665846,7.188381958894996,7.406630796937569,7.299008293800942,4.907171268556778,5.109059450093465,5.010103672471178,0.06016581921978104,0.06973242113776205,0.06477186191414713,0.1690522141074161,0.18589041576666507,0.17742361259825046
4,SW-1H-CN,0.45762880711624765,0.4854500544082542,0.47131914951347237,1.0409535964780294,1.0487395082258693,1.044753509844383,0.23439750282170435,0.2537404986646854,0.24408019899042943,0.5272380075021106,0.5452908345871684,0.536177432150737,7.223339009232708,7.449415255468282,7.3387490427478275,4.918971496094493,5.118754726994323,5.0196573931802515,0.05512161335509836,0.06395528449419932,0.05944288922749357,0.16021562613402235,0.17654651678891248,0.16825292452933016
5,CB-1H-CN,0.5019395082164113,0.5297761642550421,0.5158355734391031,1.0508218138221348,1.0590566607302088,1.0549333511207855,0.2560143103175391,0.2747202863954165,0.26542042463825516,0.5319370991326607,0.5499973420638817,0.5408811909644902,7.080075159063688,7.2972870765067315,7.188635910872812,4.876797912232558,5.077422786674999,4.9780623263257615,0.052268442893868526,0.0601778701236004,0.056159022108649564,0.187997442243832,0.20591680316761138,0.19677080791828605
5,SW-1H-CN,0.49215205526246947,0.5205743698873442,0.5063716869703755,1.0487073911418923,1.0572308986279442,1.052988439927566,0.2519535753171163,0.27084459749491363,0.2613292270391309,0.5310263439751086,0.5490319800834907,0.5398916963961198,7.105110478563825,7.3303044330668925,7.218699988347763,4.885705969652051,5.087730545017607,4.9870793233471655,0.05365205768702223,0.0621262971384485,0.057885167976389484,0.18013055670140632,0.1974316608275901,0.18875152156499328
