Rank,category,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_ODLR,upper_ODLR,mean_ODLR,lower_CODLR,upper_CODLR,mean_CODLR
1,non-social co-location network,,,0.298732723004792,0.9873453659221424,0.99822551055839,0.9930818170810596,,,0.14329608485198855,0.4638667684260826,0.47806673736453137,0.47103954643372486,8.813720431478567,8.960845834422544,8.887735278611954,5.347191913428308,5.4722643252269725,5.410635908493035,0.08232036019330224,0.09102469506314463,0.08660767254964928,0.08230785598936696,0.09102587474564769,0.08660767254964928
1,social network,,,0.44562262883982173,1.0113790719148559,1.0211015354776367,1.0163299807875317,,,0.20854671075752185,0.47362753530456986,0.4872300522525165,0.4804548007399686,7.986304653142598,8.156166414231324,8.071924471981413,5.275342523347457,5.397217240983292,5.336745528734888,0.15744879101939185,0.17319247031841067,0.16521132312531617,0.1573966933926766,0.1731275594067138,0.16521132312531617
2,non-social co-location network,,,0.31678334937110375,0.9913138167654814,1.0017173538954565,0.9966394884178174,,,0.15158774098372133,0.4655424876475459,0.47984390214386313,0.47284715834765895,8.5775072523299,8.718306614382705,8.648237727679122,5.335817630542009,5.456938115012785,5.396512116275822,0.07206583535383879,0.07952631543542872,0.07577556968556325,0.13071459079615902,0.14183940241491375,0.13630685349047383
2,social network,,,0.5083426013893824,1.0230557591234541,1.0350769357471208,1.029205703231324,,,0.23784303539830837,0.479207519807293,0.4926537234152061,0.4859232594127938,7.613255361773875,7.774215177079331,7.6922282725834545,5.229224863192724,5.349055041687752,5.288247177631134,0.11647722858845046,0.12697821836175896,0.12166820111555054,0.22654984135088765,0.2442085844817754,0.23529848155031624
3,non-social co-location network,,,0.33678342266143396,0.9945180778185922,1.006469815689428,1.000676587583583,,,0.1601493275760957,0.467261918979902,0.4816465851721017,0.4745635984266989,8.390652427673716,8.53091452748502,8.462195445802312,5.313236079462947,5.438114739503976,5.376231469635651,0.06718195176274035,0.07392528519611197,0.07053226818861497,0.16526903853509115,0.17763518930809746,0.17152348282080251
3,social network,,,0.5497136239013646,1.0323676089576646,1.044324244012136,1.038427557606388,,,0.2563539682297181,0.4832211370846118,0.4967210797486099,0.48985091055225244,7.389694867888546,7.548087867147415,7.468246512722244,5.195033599310516,5.31511708284343,5.254947683333138,0.1022252176597874,0.11177061995605402,0.10693925828547954,0.27152952911233535,0.2897555342837807,0.28060697768560955
4,non-social co-location network,,,0.36293847513206506,0.9999539440280495,1.0117525482241636,1.0060549712178,,,0.17140706908175649,0.4696844155249398,0.48364007647877655,0.47666866543685754,8.250071667963143,8.392555816863577,8.321480721433113,5.2990374434593575,5.418600293701072,5.358828778987168,0.06624125249861255,0.07340643711838941,0.06972246658375265,0.19393556179554186,0.20761500511529737,0.2006657415557466
4,social network,,,0.5741714428021446,1.0411126982482146,1.0533391829059775,1.0472965361367574,,,0.2675275704667432,0.48703111395766724,0.5002121656525432,0.493583860244364,7.226020089621683,7.379387261985853,7.302678098178494,5.16548226695325,5.282204641653179,5.223513441315454,0.09150981526038442,0.1000865256195759,0.09573923649169232,0.30386026949945855,0.32268028820613354,0.313121019906368
5,non-social co-location network,,,0.3939345022315173,1.0049059549027697,1.0166671266093925,1.01088018557489,,,0.1847544828455792,0.47148964371479973,0.48578178656162896,0.4786594404906597,8.134367529831904,8.277845975033333,8.207241127446677,5.2813291692603155,5.402274918813263,5.3425901028856515,0.06257575489515571,0.06926397355865511,0.06585884712130026,0.21621926462241095,0.23118739598673285,0.22364398399623334
5,social network,,,0.5976511592119871,1.0482106632580832,1.0606948600877828,1.0545365645080578,,,0.2778494021434213,0.4900791317257363,0.5033655329921611,0.4967113598602376,7.102253114517129,7.2515754071697955,7.176084703254703,5.138946483005417,5.254527973235546,5.197013633130939,0.08442324473558288,0.09309905175143933,0.08873491660273777,0.3288656214329335,0.34850043620617804,0.33854389009542496
6,non-social co-location network,,,0.42157984702200957,1.0089201953361955,1.020768507700641,1.0149735417873778,,,0.1968761016988975,0.47334108908656897,0.487428179824685,0.4803317076878581,8.03224901074097,8.177358378250183,8.106027761879519,5.266928332172653,5.387679926629352,5.32820503630479,0.06352197750260809,0.0701394979864309,0.06679897508522638,0.23648957992680095,0.2519096388803372,0.24417349671351468
6,social network,,,0.6180573417503828,1.0543845163811447,1.0674853495062502,1.0609556161479075,,,0.2866190948408551,0.4928276619900691,0.50589927444472,0.49937080016127866,7.010611721984528,7.158622292796209,7.083299674387513,5.116629034048126,5.231261967297487,5.174764224936565,0.07632658651768738,0.08458026361569725,0.08041406914077179,0.3483792064749373,0.36845971768143787,0.3583329476177341
