Rank,trajectory,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio
1,Random Trajectory of Alter,0.15148312134302458,0.15550341604592055,0.15351501048338087,0.4053205533696377,0.4090674821133494,0.4071932925724769,7.911456386116037,7.951822955897467,7.931794610120681,6.14112423764043,6.184563794635679,6.1625291032039335,0.397609590944066,0.41047191789730253,0.4038857735399092,1.0384904082407977,1.0403484124891242,1.0394280799546147
1,Real Trajectory of Alter,0.14074738306510345,0.1784298978453638,0.1593200825968457,0.3905708689549952,0.42660178717258246,0.4088130804802714,7.757068657365479,8.10732938945125,7.9242679034586985,5.942308997809891,6.374391110627032,6.149186276337076,0.3663395181018328,0.4892729047305703,0.423901820777073,1.0354439169415492,1.0581792973693571,1.0461821535485023
2,Random Trajectory of Alter,0.17500152983323566,0.17817848998619004,0.17659966146496833,0.4145063158428682,0.41805338945179155,0.41628276387584356,7.820966358395877,7.8549320970546965,7.837964140186576,6.067005669960051,6.1097082498027,6.088140888712533,0.4601704147115268,0.469150788917619,0.464600406394626,1.0676000735312796,1.0707771525803993,1.06915451225053
2,Real Trajectory of Alter,0.16840248725595344,0.19740031721809362,0.18276850732024813,0.402197022737851,0.43682417724582584,0.4190257789523211,7.641951622157841,7.9692824254566865,7.804305954435507,5.86615426100181,6.274966315229625,6.066109354865226,0.4458583727522432,0.5327036638500274,0.4881302583766734,1.0621102796820392,1.101089078660265,1.0805414861052876
3,Random Trajectory of Alter,0.19885727323805596,0.20188331841395143,0.20038366293849844,0.4210256303090624,0.4245674681517022,0.4227803606950777,7.675537364504588,7.709861581377404,7.692582926309334,6.014767891935733,6.056577989158252,6.03570015615946,0.5261834013906008,0.5349842805617113,0.5306309764266134,1.087087304077545,1.0907953330030535,1.0889334487667055
3,Real Trajectory of Alter,0.19096698064531334,0.21802549394715084,0.20431082875080445,0.4085564955350781,0.4422972394992659,0.42530158297311244,7.508403401599955,7.8364835374933,7.670219489440687,5.8147301562069345,6.22377706255787,6.015276065248866,0.5045498294018811,0.5921974650794418,0.5465421700957216,1.078499275803756,1.1230039080727745,1.0993341349697285
4,Random Trajectory of Alter,0.21507209695752488,0.2178071597672933,0.2164473818384068,0.42743172338150326,0.4308208476447659,0.429124876907384,7.570402391895013,7.603230816421032,7.586918093692615,5.962525358475442,6.003384827828742,5.982952455826546,0.576734285393988,0.5862116815262022,0.5814694984934813,1.1082777395224725,1.1129503821642153,1.110595085103612
4,Real Trajectory of Alter,0.20772043608341764,0.23337958324953392,0.22017795624942146,0.4151242626395124,0.44772762406199373,0.43157240963789756,7.407351149857934,7.725977200495101,7.563549637403013,5.7669435226275585,6.1628338069357005,5.962863412851543,0.5481884939900766,0.6462483347188721,0.5945223684925287,1.0949445540460974,1.1493556046494209,1.1203497714153012
5,Random Trajectory of Alter,0.22871744723624,0.23143270085964962,0.23006257228668736,0.4323243491014184,0.43560372661773406,0.4339904259842352,7.478980232087748,7.511142993144495,7.494884894914916,5.922715054842252,5.962884384955789,5.943001021913858,0.6146158516981709,0.6242966061377121,0.6193729471252484,1.12323861999609,1.1285103332111923,1.1258627882223884
5,Real Trajectory of Alter,0.22199442995681912,0.2477185016243357,0.23469303635950395,0.4211022501369736,0.4523293297776152,0.4368163071889458,7.3127237510269945,7.619932571460797,7.46281465349411,5.727096561330704,6.115111906321118,5.919477004333235,0.5869205049879342,0.68815378164355,0.6350483236640027,1.109110355789703,1.1687694565393403,1.1372550697036503
6,Random Trajectory of Alter,0.24155091811745424,0.24421664472548196,0.24288918916229396,0.43714784137093937,0.4403945127886402,0.4387521951106621,7.389359696993464,7.420638253725384,7.404979134558752,5.883203078543031,5.922777104299168,5.903397404102306,0.6506457922399292,0.6607622285160456,0.6556454158375187,1.1375248978582868,1.1433299185459243,1.1404363893586393
6,Real Trajectory of Alter,0.2348811043931794,0.2612810875047548,0.2476695889549866,0.426189058034344,0.45738073023455544,0.441586104886869,7.2178057356062455,7.531072993676637,7.370664299415216,5.692743999644039,6.075505274762562,5.8797003637940115,0.6201839496047075,0.7251063970766276,0.6711149862691705,1.1210512595624325,1.1871992732923724,1.1517770383323311
7,Random Trajectory of Alter,0.25033521053770086,0.25296593659041716,0.2516397219947183,0.4413767674462534,0.44458285753767746,0.4429716173105367,7.326299661428485,7.358134076498355,7.342332561679464,5.848129005632926,5.8871805042154834,5.867557656269548,0.675774946145804,0.6860145996826809,0.6809120933731315,1.1504854232454518,1.1567131903264463,1.1536685765157721
7,Real Trajectory of Alter,0.2439484925735081,0.26934599686223776,0.256334311321773,0.4302478962251145,0.46070666135139404,0.4459024745517221,7.157220269000226,7.46260573261241,7.308300627481898,5.657898251588762,6.0376020924133,5.843142326863693,0.6426828903099433,0.7528541524587202,0.6959378473820769,1.1326726290059814,1.202000681613396,1.1652555908457483
8,Random Trajectory of Alter,0.2591930245340686,0.2619047492506361,0.2605462737238468,0.4455174355813371,0.4486146514689959,0.44703642974092955,7.2620179972112915,7.293022374598192,7.2775480524829534,5.813672710606183,5.85245231623205,5.8332166241519126,0.6992872778380749,0.709880712035151,0.7045390261781974,1.1624981362366358,1.1689653052676698,1.1656942886270416
