Rank,category,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_ODLR,upper_ODLR,mean_ODLR,lower_CODLR,upper_CODLR,mean_CODLR
1,non-social co-location network,0.6481404383664807,0.6884630134156673,0.6687316906787272,0.994598433736992,1.005208139560202,1.000325728785417,0.5353849184626938,0.5717863860185819,0.5536458912332128,0.7889300032661221,0.8039227873669674,0.7965427410820172,3.0037528414085157,3.2418067771557606,3.1240678060105176,1.632009611189423,1.7355646456543246,1.6836183127241549,0.26083568894501574,0.28824027689454834,0.2745323805141001,0.2605389466969721,0.2887190408080788,0.2745323805141001
1,social network,0.717222093341828,0.7542025084670143,0.7354829370229768,0.9996716109480946,1.0102132350113915,1.0053197755907624,0.5797992584960473,0.6123904878233356,0.5961297758475796,0.7926657154092023,0.8068702168160924,0.7997518002782914,2.7394117920535854,2.9441483504843275,2.840867573587055,1.6102414674805048,1.713651204724824,1.6621705003217913,0.4146276936444027,0.4422443893178894,0.4286204783206532,0.4146631092927981,0.44245453233727217,0.4286204783206532
2,non-social co-location network,0.7548852364666119,0.7892144897820111,0.7721612458228354,1.0011025360869046,1.0117839331807563,1.0069334270055286,0.6147336543221098,0.6463303240704468,0.6307265422395931,0.7940861174499119,0.8089004677587082,0.8015790542090814,2.570780190574686,2.7739796169231914,2.6727280651979615,1.5967204519425258,1.7006922511761196,1.6488133878041284,0.27072309884477974,0.29826084324270347,0.2845675997949144,0.36897801687653836,0.3975422362234815,0.383318269802733
2,social network,0.8094793459444491,0.8408262456015853,0.8252821989723388,1.0077173578599163,1.0183606979250095,1.0134576944879823,0.6482326684267539,0.6765251256493754,0.6626355770288734,0.7983463615834206,0.8125615939388838,0.805687574131218,2.3668215747034944,2.5382586179377378,2.4525539846980142,1.5702062591523733,1.669702497297856,1.620777527227898,0.3853907214823259,0.41255335860026676,0.39881614065562015,0.538279189378085,0.5645145591489973,0.551325072168304
3,non-social co-location network,0.8146320829164007,0.8435758007837906,0.8290934178538415,1.007367745359127,1.0180189577722456,1.0129905938891968,0.6580798186926942,0.6853904553893821,0.6720022653508889,0.7984828803552025,0.8130182350575706,0.8058995652700486,2.3440302817743124,2.526324294644619,2.433640888050559,1.569318898088529,1.6715204996379782,1.6195384537114457,0.288102809419389,0.31568763307755476,0.3018614169097135,0.4502899065224877,0.4783141483985002,0.46435269010300456
3,social network,0.8520568500713324,0.8811733486721361,0.8666492477379689,1.0139599858396322,1.0247771391356864,1.019739156824657,0.6793673806189496,0.7054026693326677,0.692758293231982,0.8031079014264428,0.8169841332006399,0.8102139295986509,2.1918823976404105,2.3506708471709348,2.2701024181726734,1.5398766480698627,1.6372333872751845,1.588865129638657,0.3681807959489244,0.39512744585851156,0.38144836102082114,0.6117148969676767,0.6367377131474476,0.6241285876217154
4,non-social co-location network,0.8512067777798263,0.876705797400519,0.864183935904964,1.0122076207628476,1.0230092051546005,1.0179915695910284,0.6847531054979593,0.7100129786143061,0.6974272912835274,0.8020633223511163,0.8166781333713056,0.8094707626475544,2.200694385721539,2.3657728007353316,2.282141907276541,1.5450173320375133,1.6449569650289144,1.594818612305535,0.2899509436875446,0.3175477530145072,0.3035400070776623,0.508172476555564,0.5362588028940012,0.5219698039529366
4,social network,0.8798085087290566,0.90716152508142,0.8938922106999492,1.018763727495017,1.0297337893065557,1.0246045499667116,0.7003555197277649,0.7251114230376061,0.7128604556110515,0.8066719865836545,0.8204605493889112,0.8137126662692419,2.0694615986924583,2.215977480568671,2.141791600289842,1.516224128345171,1.6130823191992805,1.5642731121092306,0.3592222777610735,0.386819792575052,0.3727630514823569,0.663443018838357,0.6870081022737824,0.675152026221074
5,non-social co-location network,0.8746778870415371,0.8987388835346746,0.8869852991594351,1.0158308152426616,1.0265997123551136,1.021606728594195,0.7020138484199917,0.725995619469088,0.7138401467572085,0.8048183772263865,0.819018722742852,0.8120684010983017,2.1065287777381396,2.2661242627855485,2.1861359645033107,1.5270523759564625,1.6264567288428846,1.5767332542272274,0.28775547492040304,0.31443068991693063,0.3012350938015715,0.5507110831928032,0.5772605023600064,0.5638868731643746
5,social network,0.8969682602841184,0.9236664118053003,0.910770309537324,1.0225207680248072,1.0336936547554754,1.0284631335863454,0.7130290935005567,0.7373126736343423,0.7254061472049902,0.8095242653512291,0.8232019311271521,0.8164812982630335,1.9957857923890443,2.1350932528252144,2.0637535171653583,1.4992202652682889,1.5924530588135462,1.5444195168436168,0.345646309039448,0.37234964785140934,0.358941500649313,0.7034137262084242,0.7251712051893725,0.714180007370692
6,non-social co-location network,0.8933326819817724,0.915251379352636,0.9045588662416973,1.0190331614297914,1.02997664614186,1.0248905770051042,0.7147848451794795,0.7375780574061892,0.726357682851931,0.8072829406652648,0.8212864370710374,0.8144001491467944,2.0380006725611324,2.1888335482313157,2.1132570201341845,1.511125467684731,1.609567802048388,1.5603816895983145,0.28920714223779553,0.3162795912434233,0.30263647986267894,0.5852767221739785,0.6112350420791601,0.5982030402338414
6,social network,0.9066348230339674,0.9332879807395784,0.9204755955999214,1.0251249423327213,1.0364414087796812,1.031228194298088,0.7203371134884939,0.7439526532413664,0.7323745883264149,0.8115057680841754,0.8251937501347459,0.8184659602838601,1.9501996117276759,2.088056797426146,2.017546440564726,1.4836476613494811,1.5771486986229646,1.5299861648992863,0.32345650235233303,0.3501681018539903,0.3367787118845598,0.7284873337534471,0.7493883663883442,0.7391244243349004
7,non-social co-location network,0.9062458868897646,0.9270596670744946,0.9169908807049448,1.021361468128051,1.0324235193305418,1.0273877351101124,0.7242687385058586,0.7461887629698765,0.7353890246873275,0.8089896407609253,0.8230482909439234,0.8162022357969397,1.983489811036064,2.1283033986146314,2.056122976267823,1.4988841289733128,1.597374992393659,1.547589445418402,0.2867934940963478,0.31418229387635704,0.3002364506173946,0.6129315104743083,0.6384038635920792,0.6258174804876869
7,social network,0.9142751450325598,0.940529426279125,0.9276220097210284,1.027429587108152,1.0388058265106836,1.0334997933306571,0.7255649801554542,0.7492062194324542,0.7375387838576477,0.8132867113677608,0.8268070439595864,0.8200882638788644,1.9151138664648855,2.0465686317199507,1.9808597266989705,1.47217942530949,1.5639005420548862,1.5181934926294365,0.3096637672594056,0.33623761024688925,0.32281577048801213,0.7515271541880957,0.7716263079958954,0.761708900574644
8,non-social co-location network,0.9170668803393272,0.9375052338319808,0.9274222643623201,1.023738018908778,1.0348327051638204,1.0296868821577387,0.7318050976348832,0.7533188039963364,0.7427665077633995,0.8108015399595493,0.8246380588052221,0.8178707680341385,1.9393938469907108,2.0780654445370557,2.0083719518793104,1.4878705769455458,1.5837228847309297,1.535615612184419,0.2938780082520429,0.32186519867087654,0.30774295263434515,0.6389142369578952,0.6637392523191643,0.6513540879472645
8,social network,0.9207277753558222,0.9468820938967946,0.9340630590132083,1.0292989351690103,1.040572566406343,1.035272533601684,0.7300893901705859,0.7533520593971201,0.7420563969150146,0.8146736662254985,0.8278326239503119,0.8213504720272189,1.8860777913879625,2.0166964630125745,1.9507536521326603,1.4644265986755751,1.5556859156807092,1.5089909059458433,0.2884608126600144,0.3151823554076562,0.30178434293543616,0.7711913645294837,0.790233398207534,0.7806849072234311
9,non-social co-location network,0.9264247328160122,0.9461008489373832,0.9364059175458144,1.0257535240979871,1.0370510007110634,1.0317990674281885,0.7387443767770632,0.7594891019854217,0.749222856906544,0.8123895243180055,0.8260384461841676,0.8193760806487275,1.8975269831766877,2.034998421753371,1.9670743343528796,1.4756524735671435,1.5731654788583855,1.5246944669657032,0.29260637244195103,0.3199271407141635,0.3062234673034572,0.6615057285111086,0.6855429396730506,0.6735892317734554
9,social network,0.9256433472868054,0.9513521528044958,0.9388780206863231,1.0306786070855982,1.0421668079710655,1.0367538987147795,0.7339141358626399,0.7568435460629498,0.7456251052089056,0.8153453015707641,0.8288968286505752,0.8223982006046814,1.8647100564428136,1.9913194608446396,1.9279110105432553,1.456045769232822,1.5476120498805357,1.501205352446822,0.27257432075714394,0.2989222351344431,0.28565709618405566,0.7865346937212822,0.8051068062318678,0.7958025226724668
10,non-social co-location network,0.935141905345656,0.954389748898715,0.9450448983444559,1.0280569741795773,1.0391205649998163,1.0339288377192277,0.7454262117487159,0.7651897872985554,0.7553928358904424,0.8137719019257815,0.8276929018136402,0.820884836376861,1.863651534429286,1.995465948121427,1.9283750188139588,1.4673110235929985,1.5616031940046373,1.5140598887821102,0.28170676718960685,0.3091599202231805,0.2953466088946798,0.6797640071821867,0.703413500208805,0.6916209152320386
10,social network,0.9290508704099952,0.9547244677636303,0.9421758696239876,1.031966627290921,1.043375451730211,1.0379139410463312,0.7367765811434803,0.7593113168836347,0.7480649824623312,0.8165571874525941,0.8296553117169138,0.8232416410671101,1.848023975413189,1.974455775304421,1.9112880867653441,1.4512181883605177,1.539983789531711,1.4948246994131276,0.25112234358035995,0.27710107054052857,0.26404252713750226,0.7993508536029612,0.8171945792061726,0.8083634641409526
