Rank,category,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_ODLR,upper_ODLR,mean_ODLR,lower_CODLR,upper_CODLR,mean_CODLR
1,CB-1H-CN,0.6673024100138856,0.7719407643490194,0.7209131642832111,0.9967883823441313,1.0055853904477396,1.001373436848409,0.5655130775968719,0.6710564782045895,0.6195148844268292,0.7873368169243964,0.8401137283420442,0.8141445662986461,2.9654706154390706,3.928839843111252,3.4374926762609537,1.687092768216368,2.2510837039246554,1.9617729949024931,0.07846231445242466,0.12390979044211989,0.09996576349930068,0.0778838624934604,0.12421541045174693,0.09996576349930068
1,SW-1H-CN,0.6499522124090106,0.7548832638466338,0.7034763942257182,0.9987552604068088,1.0052736080886895,1.0018985915106202,0.5507683531267831,0.658239485867262,0.604816224821163,0.7885832845305679,0.8407330068661478,0.8146228063051272,3.0600513487596577,4.0050245185021005,3.5219916634797865,1.6806400948280542,2.2415789930097074,1.95818138421459,0.07010837503586548,0.11580594397239287,0.09140351031608453,0.07039598368935575,0.11504931910118854,0.09140351031608453
2,CB-1H-CN,0.7376479512382114,0.8305454895928216,0.7851391280691196,1.0002419580147233,1.0093146700650033,1.004836740196381,0.6187475585835119,0.7193635214852347,0.6699594947953682,0.790339268302835,0.8429377832373658,0.8168088800427403,2.6374559403053954,3.565097821749454,3.0935918939495313,1.667358837683886,2.2120714219177358,1.9370459077635471,0.0649171494584306,0.10521568787330562,0.08412420008254301,0.10309995417457393,0.15419145104024987,0.12742711301301615
2,SW-1H-CN,0.7160269373411061,0.8120649656562386,0.7653466834666868,0.9984941378428925,1.0071196051778362,1.0029180369485338,0.6030868907132951,0.7072141044504274,0.6560832640473035,0.7878642109655539,0.8415990050891936,0.8154585986556009,2.7252824240304427,3.6768894026917667,3.1928593347464704,1.6658060940373365,2.232682266514879,1.948428130912269,0.07332581348108196,0.11591301313610079,0.09384027603197846,0.10313509131796197,0.15431202032984245,0.12746125144423728
3,CB-1H-CN,0.767424419664492,0.8511475433274457,0.8105600353631893,1.001895901780344,1.0118436675357545,1.0068423577315155,0.6400138009629142,0.7374268253347828,0.688609722234963,0.7914685193663824,0.8436054520008118,0.8183110155665204,2.504685193918129,3.4243393302580496,2.96083341083295,1.6570054841832993,2.205581252316439,1.9223051598877032,0.07248585227031458,0.11516073731380316,0.09262128980673784,0.1271076670256981,0.18328781817990764,0.15450499769696213
3,SW-1H-CN,0.7496343113904715,0.8386983698536215,0.7960796737767705,1.0010052686289161,1.0105478976917879,1.0058310248401903,0.6273860150838406,0.7277651572108391,0.6788419403218479,0.7909585154843525,0.8430664347917558,0.8174237342641572,2.577033798661174,3.5160035390070052,3.0378428356166047,1.656407406805181,2.218416725635074,1.9308637995236966,0.06436257069064588,0.10231914809849618,0.08233183294689944,0.12408769185277752,0.1790255265329106,0.15028876274659106
4,CB-1H-CN,0.779611685519169,0.8595398031288614,0.8205920135633231,1.0037821557068485,1.0137587950057576,1.0088715752362623,0.6472088923681261,0.7424942857856592,0.6955505521653559,0.7933588082462012,0.8452501197150566,0.8196119414870986,2.4618324316691407,3.3725431241559503,2.912350261440291,1.6395133931810106,2.188814723887252,1.9105054802905554,0.06054973569413509,0.09655772787326022,0.07788920355545677,0.14306648605489702,0.2024401974155509,0.17149245646934588
4,SW-1H-CN,0.7724571490961714,0.8559325987594247,0.8145782202087144,1.003084931357552,1.0128619960830663,1.0080299074859873,0.6418264175835884,0.7389048016770695,0.6914592424062241,0.7921115033389176,0.8445977637614676,0.818994384723289,2.4978303073442354,3.4118889022152783,2.9459204126905396,1.6426711125162694,2.1935470518753393,1.9164290000446498,0.06349570692731922,0.10144892893189952,0.08178147988994006,0.14067391207578522,0.19917273297269342,0.1691189940855187
5,CB-1H-CN,0.7914538493689633,0.8688279633942866,0.8311972221432831,1.0060268807415549,1.016120116070269,1.0111045939206258,0.6555704357293728,0.7497099239732058,0.7032786204677407,0.7946913797455876,0.8472348176982557,0.821207405984609,2.4261618128863094,3.3077427772494525,2.8551638886992925,1.6237401683492931,2.177289930092141,1.896311453091746,0.06587783426731957,0.10368453183059338,0.0840017617804803,0.15931573872502727,0.22006283580180785,0.18836166562516213
5,SW-1H-CN,0.7877609820787757,0.8672279786749509,0.8287998799681101,1.005909534600668,1.0155813406800334,1.0107873026967356,0.652868659880516,0.7480733065224623,0.7012034970996092,0.7947813987004279,0.8468387293735585,0.820818692102051,2.432238101869293,3.3375300441530933,2.8755503930887483,1.6289013658293379,2.1747057365106937,1.900501178777424,0.061930779459256055,0.0995133290292576,0.0799234849569822,0.15656330855571085,0.21619336256613791,0.18516687788567576
6,CB-1H-CN,0.7999549114111641,0.8760324652564674,0.8391650003870249,1.0078069922321984,1.0183543488230722,1.0131227082664078,0.661327960662849,0.7542308366681136,0.7087591269992807,0.7960956431461356,0.8475415305503982,0.8225164724054985,2.381022172133434,3.263180550355288,2.8146144751370175,1.619485518724431,2.154163217522397,1.8848069751284886,0.05927448252989979,0.09434357699324179,0.07580545560915684,0.1714611066577694,0.23464717946942187,0.20183610095790377
