included,category,dataset,mean,lower,upper
3,WT-MFN,BrightKite,0.6382066312467143,0.5857701733897025,0.6891789138854036
3,WT-MFN,Gowalla,0.623068006006575,0.570837925812628,0.6801538743487142
3,WT-MFN,Weeplace,0.4010079672108707,0.38454446153782307,0.4170479023136987
4,CB-1D-MFN,BrightKite,0.7316961666334334,0.6767749375316168,0.7841857927546318
4,CB-1D-MFN,Gowalla,0.8455674094921937,0.8001886043788682,0.8937444160473745
4,CB-1D-MFN,Weeplace,0.6922910667409664,0.6694763628042801,0.7154522060689628
4,CB-1H-MFN,BrightKite,0.7497355801464374,0.7014526280930902,0.7976157266037913
4,CB-1H-MFN,Gowalla,0.853232845691022,0.8060550360619767,0.903379885094269
4,CB-1H-MFN,Weeplace,0.6910099196913635,0.6677902950544865,0.7140867332195111
4,SW-24H-MFN,BrightKite,0.7228025410129956,0.6670193118929708,0.7767126632070305
4,SW-24H-MFN,Gowalla,0.8491659951372582,0.8017409328506045,0.8980617151671552
4,SW-24H-MFN,Weeplace,0.6750825286229194,0.6505549771791717,0.6987436187237592
4,TFN,BrightKite,0.8177897754482284,0.7775897744752056,0.8558226024261524
4,TFN,Gowalla,1.05335211427736,0.9879458966685442,1.1323730243946213
4,TFN,Weeplace,0.7841176507170966,0.7637751214688255,0.8040539463775789
4,WT-MFN,BrightKite,0.6829688332662754,0.6324221946015841,0.7314765685231823
4,WT-MFN,Gowalla,0.6687074768722531,0.6146448845272865,0.7290599233251777
4,WT-MFN,Weeplace,0.4244639908054208,0.4080767123146061,0.4407481267320523
5,CB-1D-MFN,BrightKite,0.7497824052266998,0.6981829060142306,0.8010968292494499
5,CB-1D-MFN,Gowalla,0.8892039666749963,0.8424601780470055,0.9372265754850719
5,CB-1D-MFN,Weeplace,0.7342870015628316,0.7113129597798061,0.7562901629379307
5,CB-1H-MFN,BrightKite,0.7682419257440053,0.7205864099699844,0.8142296389978333
5,CB-1H-MFN,Gowalla,0.8859585403914813,0.8412776407031005,0.9314809323375313
5,CB-1H-MFN,Weeplace,0.7309945704659174,0.7080950598662292,0.7543456993351743
5,SW-24H-MFN,BrightKite,0.7487168807191901,0.6965981727355623,0.7976999776169332
5,SW-24H-MFN,Gowalla,0.887503164912855,0.8411724190736393,0.9386740223558949
5,SW-24H-MFN,Weeplace,0.7217855520731915,0.6979863068773932,0.7461008237435233
5,TFN,BrightKite,0.8213981814716059,0.7815526247636757,0.8588290838646498
5,TFN,Gowalla,1.0726873412443265,1.0063054074134514,1.1510744781533953
5,TFN,Weeplace,0.8047609297913679,0.7844005324578277,0.8256274292296994
5,WT-MFN,BrightKite,0.719324481794892,0.6715004403522352,0.7655193973425791
5,WT-MFN,Gowalla,0.694820123698864,0.6398353666489791,0.7559305654457762
5,WT-MFN,Weeplace,0.44302366024486795,0.4270300092768377,0.4595402102310608
6,CB-1D-MFN,BrightKite,0.7649682955244319,0.7141112553122805,0.8137399869314921
6,CB-1D-MFN,Gowalla,0.9200323971331114,0.872283126758585,0.9714803474636995
6,CB-1D-MFN,Weeplace,0.768195288194298,0.7453859285234319,0.7908656282627704
6,CB-1H-MFN,BrightKite,0.7848164895555367,0.7382095350180857,0.8279198764199329
6,CB-1H-MFN,Gowalla,0.9176463450052673,0.8705968456591455,0.9647956506208714
6,CB-1H-MFN,Weeplace,0.7612265601069694,0.7381598352509654,0.7839685340765841
6,SW-24H-MFN,BrightKite,0.7676209457400406,0.7179975824896182,0.8141611907430389
6,SW-24H-MFN,Gowalla,0.9175502174643873,0.8692387952943953,0.9684310986724
6,SW-24H-MFN,Weeplace,0.7529377519676979,0.7291089151345436,0.7768660515392825
6,TFN,BrightKite,0.8308882350026341,0.7931330665701685,0.8670032107614507
6,TFN,Gowalla,1.0881400691169572,1.02140622967475,1.1675917248656538
6,TFN,Weeplace,0.8192012206176625,0.7978262210112755,0.8403061305063719
6,WT-MFN,BrightKite,0.7407039677586886,0.6938713906857327,0.786799757062628
6,WT-MFN,Gowalla,0.7151536769807666,0.6587744666165753,0.7759675323154546
