,Ego,Cross Entropy
50-50,andrew-shults,-2.480633679
50-50,andy-amendola,-3.281426082
50-50,andy-hadfield,-2.899476947
50-50,angela-baxley,-2.675326035
50-50,angela-chou,-4.415711821
50-50,angie-k,-3.229486952
50-50,angus-logan,-2.619879994
50-50,anita-brooklynbybike-singh,-2.894834624
50-50,anjelika-paranjpe,-2.595747411
50-50,anna-d,-3.121730927
50-50,anna-frenkel,-2.062303922
50-50,annie-lesser,-1.510947433
50-50,annie-sorensen,-1.824114229
50-50,anthony-cafaro,-2.366969926
50-50,april-underwood,-3.523529608
50-50,ari-greenberg,-1.976597203
50-50,armand-gaerlan,-2.336029685
50-50,asher-yanich,-2.663982382
50-50,atknktn,-1.993775372
50-50,atsushi-nakamura,-3.789373166
50-50,audrey-nieh,-5.506888688
50-50,ayumi-m,-1.595279479
50-50,barrett-lane,-2.458897597
50-50,barry-goldlist,-1.613556576
50-50,beau-lebens,-2.513219422
50-50,becky-jacobs,-1.544442622
50-50,ben-alter,-0.785603544
50-50,ben-fullerton,-2.59566107
50-50,ben-kessler,-3.179761474
50-50,ben-parr,-3.143567748
50-50,ben-roodman,-2.563419499
50-50,ben-tesch,-2.133208442
50-50,benjamin-bloom,-1.944074481
50-50,benton-barnett,-2.137133643
50-50,bill-graney,-2.142352036
50-50,bill-johnson,-1.482915809
50-50,blake-whitman,-1.417190519
50-50,blanca-del-castillo,-3.092131575
50-50,bob-buch,-2.013835199
50-50,bob-upham,-3.157823411
50-50,boon-yap,-1.710525676
50-50,brad-benson,-3.605621327
50-50,brad-thompson,-2.781380287
50-50,brandon-chesnutt,-2.513648138
50-50,brandon-perlman,-2.615971756
50-50,brandt-flomer,-1.214517497
50-50,brendan-bilko,-2.07357156
50-50,brian-buggie,-1.226318988
50-50,brian-kalma,-1.161806361
50-50,brian-moore3,-2.46755405
50-50,brian-papa,-4.040935341
50-50,brian-shoemaker,-4.436756247
50-50,brian-stelter,-2.294528
50-50,brian35,-1.862446807
50-50,brooke-lynn-luat,-1.396947701
50-50,bryan-jones,-3.558980033
50-50,brynn-evans,-2.265770371
50-50,burt-herman,-3.692464815
50-50,butakao,-4.418505061
50-50,callorus,-2.870024726
50-50,cap-watkins,-2.660299865
50-50,carla-blumenthal,-3.366925059
50-50,caroline-mccarthy,-1.785387958
50-50,cassel-kroll,-4.258310845
50-50,cathy-griffith,-4.254032298
50-50,celsius,-1.669588464
50-50,cesar-razuri,-2.919798988
50-50,chapin-clark,-2.909307386
50-50,chase-turner,-0.782881227
50-50,chelsea-dubinsky,-2.814928171
50-50,chet-gulland,-4.166436834
50-50,chris-ayres,-2.059290034
50-50,chris-burkhart,1.114404984
50-50,chris-carter5,-0.397504916
50-50,chris-hutchins,-3.160724747
50-50,chris-iversen,-3.293372993
50-50,chris-mccann8,-1.759298551
50-50,chris-messina7,-2.600035269
50-50,chris-oleary,-2.162007464
50-50,chris-pendleton,-2.462699789
50-50,chris-zacharias,-2.749253955
50-50,christian-hughes,-2.424862256
50-50,christina-cacioppo,-2.2776153
50-50,christopher-doorley,-2.999742679
50-50,chuck-reynolds,-0.356873648
50-50,cia-b,-3.956519338
50-50,ciprian-tutu,-2.452103099
50-50,coen-jacobs,-2.581294346
50-50,colin-burns7,-2.389668868
50-50,conner-mccall,-2.599984877
50-50,cooper-smith7,-1.54305307
50-50,craig-pladson,-2.397787045
50-50,craig-saper,-2.47996198
50-50,cristina-r,-2.111494246
50-50,cuauthemoc-sandoval,-1.794465834
50-50,d1co,-2.894666389
50-50,damian-damjanovski,-3.611071853
50-50,damien-basile,-1.099739009
50-50,dan-chizzoniti,-0.719530806
50-50,dan-dofter,-1.907547092
50-50,dan-entin,-1.894907303
50-50,dan-hon,-2.398797872
50-50,dan-manco,-2.601391482
50-50,dan-viens,-0.604013966
50-50,dana-brandon-kreiss,-1.084189297
50-50,dane-deasy,-2.839094653
50-50,daniel-newman,-2.861232403
50-50,danielle-eck,-2.200150937
50-50,danielle-morrill,-2.483850797
50-50,danny-nathan,-2.747322118
50-50,darold-cuba,-1.109567713
50-50,darrell-whitelaw,-2.416527175
50-50,daryn-nakhuda,-1.529852956
50-50,dave-edwards,-1.685058236
50-50,dave-kerpen,-2.556276141
50-50,dave-nattriss,-4.015773596
50-50,dave-s,-1.653507937
50-50,dave-taylor,-4.332952234
50-50,dave-weinberg,-2.475334817
50-50,david-berkowitz,-1.688590103
50-50,david-fraga,-1.738079658
50-50,david-laster,-2.338981955
50-50,david-lifson,-2.941366323
50-50,david-rosen,-3.097806877
50-50,david-trahan,-1.007340508
50-50,dawn-winchester,-0.821471861
50-50,dean-faustman,-1.645113476
50-50,dennis-mykytyn,-2.012967523
50-50,dennis-yang,-3.615449392
50-50,dens,-2.798686409
50-50,derric-podschun,-4.454609185
50-50,devin-brown,-3.067667152
50-50,devin-reams,-2.159216669
50-50,dharmesh-shah,-2.093080213
50-50,dhawal-damania,-3.874239096
50-50,dina-fierro,-2.329101972
50-50,dipesh-goel,-2.7393154
50-50,dishan-wijesinghe,-3.926649493
50-50,do9-iigane,-2.673775555
50-50,dolapo-falola,-1.02281696
50-50,dominic-preuss,-2.549797531
50-50,doug-akin,-1.981859984
50-50,doug-chavez,-3.182339629
50-50,doug-jaeger,-3.495067983
50-50,douglas-lin0,-3.809326383
50-50,downtownrob-marlbrough,-2.176767222
50-50,dre-labre,-2.568333205
50-50,dustin-whittle,-1.97747689
50-50,dylan-armajani,-2.39914647
50-50,ed-costello,-2.159512618
50-50,ed-kohler,-1.386524986
50-50,ed-palumbo,0.022054
50-50,elavrov,0.947988867
50-50,ellen-chisa,-2.115174839
50-50,elnif,-3.663152246
50-50,elysa-rice,-2.731040023
50-50,emily-woolf,-0.729158261
50-50,emilyspearl,-1.693397963
50-50,enia-titova,-4.78637235
50-50,enrico-gatti,-2.734794835
50-50,eric-andersen,-1.84917992
50-50,eric-park,-2.897407331
50-50,eric-petersen,-5.396150873
50-50,erik-hess,-4.328736781
50-50,erin-gleason,-4.469335533
50-50,ernie-hsiung,-3.966006831
50-50,esther-assaad,-3.342595692
50-50,ethan-bloch,-3.132180035
50-50,eugene-donca-mollino,-5.81727728
50-50,evan-solomon,-4.725371764
50-50,fakery99,-3.189238996
50-50,fazz0611,-2.052415457
50-50,fernando-maclen,-1.762477243
50-50,florian-fangohr,-1.852486076
50-50,florian-seroussi,-2.83504664
50-50,foughtthebattle,-2.759528485
50-50,fox-woods,-3.940700983
50-50,frank-bovenkerk,-2.987479448
50-50,fred-wilson,-1.664322648
50-50,fumon-masahiro,-2.17997043
50-50,fwkw3521,-0.675252471
50-50,gauri-manglik,-0.490798813
50-50,gavin-becker,-2.04889736
50-50,gcellz-guerrero,-4.323270942
50-50,geoff-kim,-4.506882114
50-50,geoff-wood,-2.463863062
50-50,gerard-ramos,-4.153520075
50-50,gerke-p,-2.388077742
50-50,giancarlo-pitocco,-2.376924963
50-50,gijsbregt-brouwer,-3.689951131
50-50,golee,-2.251694463
50-50,goryugo,-1.143736565
50-50,gotetsu,0.045107876
50-50,grace-aldridge,-3.73826082
50-50,graeme-douglas,-2.696488028
50-50,grant-hutchins,-1.522127861
50-50,greg,-2.612954452
50-50,greg-dean,-1.547216154
50-50,halle-tecco,-2.74476065
50-50,hashem-bajwa,-2.484269112
50-50,hawaii,-1.927831458
50-50,heather-hynes,-3.108877437
50-50,heather-macdonald,-3.721341278
50-50,heiko-hebig,-3.394116414
50-50,henry-balanon,-2.519198368
50-50,hillary-lannan,-2.018895078
50-50,hironao,-3.556721678
50-50,hiroyuki-hirakoba,-2.969237687
50-50,hugo-perez,-0.912827985
50-50,hyungtak-kim,-0.708009881
50-50,hyunwoo-yi,-1.113630945
50-50,iamkhayyam,-1.392761636
50-50,iboncool,-1.09744055
50-50,idan-cohen,-2.797210636
50-50,ihase,-2.227949619
50-50,indira-vaidy,-3.591415859
50-50,irene-tien,-3.483583024
50-50,istvan-busak,-3.927152929
50-50,itsia-lee,-3.393740662
50-50,ivan-k,-3.397647733
50-50,j-allen,-1.902707949
50-50,jacob-abernathy,-1.024852262
50-50,jacob-btter,-2.247895737
50-50,jae-r,-1.145178499
50-50,jaime-punishill,0.557260863
50-50,jake-dwyer,-0.499630752
50-50,jake-furst,-3.722278916
50-50,james-huerta,-1.416755445
50-50,jan-videren6,-3.690747634
50-50,janelle-gunther,-2.020473057
50-50,janine-freriks,-4.352184853
50-50,jared-may,-2.351525468
50-50,jared-taylor,-1.405905852
50-50,jase-patrizio,-2.019834278
50-50,jason-anderson,-1.55264135
50-50,jason-kende,-2.304059051
50-50,jason-lafrenais,-2.567931113
50-50,jason-lake,-1.524435006
50-50,jason-liszka,-2.942463958
50-50,jason-sack,-2.752403299
50-50,jason-smith1,-3.02805724
50-50,jasoncarlin,-0.7064198
50-50,jazznotjazz,-1.228672946
50-50,jeff-amlin,-1.559901294
50-50,jenn-bee,-3.564729436
50-50,jenn-lowther,-2.181215804
50-50,jenn-ng,-3.174794974
50-50,jenn-winger,-2.14544426
50-50,jenna-odett,-1.347431536
50-50,jennifer-boyd,-3.709704094
50-50,jennifer-mcknight,-2.02015487
50-50,jennifer-van-grove,-3.232207856
50-50,jeremy-kim,-0.121664466
50-50,jeremy-perry,-2.149316516
50-50,jeremy-whelchel,-2.205524392
50-50,jesper-andersen,-1.888157124
50-50,jesse-brightman,-3.452956411
50-50,jesse-middleton,-2.586484103
50-50,jessica-murray,-1.538498652
50-50,jessica-worthington,-2.80301763
50-50,jessica01,-1.486991839
50-50,jh-ko,-2.284010982
50-50,jihoon-yeo,-1.856151178
50-50,jill-hanner,-2.943322335
50-50,jill-nussbaum,-2.205269695
50-50,jim-techfrog-alden,-1.952564767
50-50,jim-w,-2.744280511
50-50,jinwon-kim,-1.827012706
50-50,jiri-masek,-3.626753998
50-50,jjangmi,-1.251474024
50-50,joanna-belbey,-2.590999941
50-50,joe-hall,-2.459652993
50-50,joe-rideout,-2.812198768
50-50,joey-leslie,-4.591259604
50-50,john-carew,-2.024015804
50-50,john-decicco,-3.121397058
50-50,john-fayard,-1.214033654
50-50,john-lyons,-4.577872011
50-50,john-mccartney,-1.613703465
50-50,john-preston-jr,-0.42191102
50-50,john-rojas,-1.948019225
50-50,john-sanchez2,-2.635019615
50-50,john-wallace6,-2.022225596
50-50,john-wiseman,-0.887189041
50-50,john-zanussi,-2.453126617
50-50,john1,-2.215187531
50-50,jon-accarrino,-2.642706358
50-50,jon-rohan,-5.826201429
50-50,jon-steinberg,-2.918648136
50-50,jonathan-kopp,-7.677482941
50-50,jonathan-vu,-2.714914269
50-50,jong-hyeon-choi,-0.775423972
50-50,jose-gutierrez,-1.892622295
50-50,joselin-mane,-4.750831781
50-50,josh-copeland,-3.665038887
50-50,josh-rubin,-3.889314577
50-50,josh-weinberger-kitson,-2.359730177
50-50,joshua-ehart,-2.228515139
50-50,joshua-kaufman,-1.072557976
50-50,joy-londok,-2.226648328
50-50,jp-kim,-1.459431761
50-50,jr47,-2.86217809
50-50,justin-kalifowitz,-3.57845874
50-50,justin-moore,-1.909521532
50-50,justin-thorp,-1.425246391
50-50,k_sukigara,-2.12918303
50-50,kaerugeko,-4.32035966
50-50,kaichi-kuroda,-3.827397046
50-50,kanoka,-1.6432753
50-50,karen-lee,-0.249256299
50-50,karen-monahan,-1.702713285
50-50,karma,-4.429980792
50-50,kate-goldsmith,-1.600216398
50-50,kate-hypes,-3.30451608
50-50,kate-ritchie,-2.884993527
50-50,katie-meza,-4.360384213
50-50,kazu-skywalker,-1.551773051
50-50,kazuhito-kidachi,-2.503826784
50-50,kazuya-takeshima,-2.257422217
50-50,keegan-jones,-2.394748436
50-50,keegan-y-v,-3.561219115
50-50,keith-robinson,-2.297150648
50-50,kelly-lavaute,-2.387103406
50-50,kelly-sutton,-1.013979014
50-50,kemosan,-1.86837462
50-50,kenneth-auchenberg,-2.658717927
50-50,kevin-dando,-1.920958158
50-50,kevin-gawthrope,-2.315696084
50-50,kevin-pfefferle,-2.276768524
50-50,kevin-silverman,-1.846183196
50-50,kevin-skobac,-3.86027698
50-50,keynas-jeong,-4.412413974
50-50,khoa-le,-1.657475685
50-50,kibbe,-3.265080429
50-50,kimberly-the-bold-iv,-2.179221857
50-50,kira,-3.915610015
50-50,koichi,-3.149312356
50-50,komata-yuichiro,-1.923737224
50-50,koray-caner-ozturk,-3.848429969
50-50,korobkov,-0.83350772
50-50,kristin-maverick,-2.592517852
50-50,krystyl-b,-3.436205247
50-50,kushal-dave,-2.352104482
50-50,kyle-cameron-studstill,-6.51852961
50-50,kyle-dean-reinford,-2.578898535
50-50,kyujin-lee,-2.661487911
50-50,kyung-jin-kim,-1.934003579
50-50,lars-bastholm,-3.458417855
50-50,laura-boychenko,-2.65221364
50-50,laura-macleod,-1.849455729
50-50,lauren-hannah,-2.494749274
50-50,leeclo,-3.367476568
50-50,len-kendall,-1.074077717
50-50,lesley-forrester,-3.429382097
50-50,lindsay-kaplan,-3.636165526
50-50,lindsey-lanpher,-1.401119235
50-50,liz-b,-2.124417876
50-50,lizzy,-1.795635507
50-50,localkit,-1.516780599
50-50,lockhart-steele,-1.786356252
50-50,loop99,-3.437207756
50-50,loritodd,-2.924899953
50-50,maarten-peschier,-3.16139999
50-50,mac,-4.1982258
50-50,maggie-liu,-0.650143672
50-50,magnus-martin,-2.920400001
50-50,malcolm-ong,-2.486537273
50-50,malte-goesche,-2.343872427
50-50,manabu-tanaka,-0.868496949
50-50,manisha-m,-2.976106611
50-50,marc-vermut,-2.266844244
50-50,marcelino-alvarez,-2.603338378
50-50,marci-ikeler,-1.986604613
50-50,marcos-lopez-carlson,-1.218697186
50-50,marcus1,-1.266840635
50-50,maria-ogneva,-2.874590802
50-50,mario-anima,-3.436018087
50-50,mark-burstiner,-2.315633928
50-50,mark-g,-2.213488669
50-50,mark-graham,-2.993752665
50-50,mark-himmelsbach,-2.832089294
50-50,markus-eckartz,-1.005901412
50-50,marla-mccormick,-2.030364321
50-50,martin-thornkvist,-3.790388022
50-50,mary-ann-porch,-3.250952079
50-50,mary-crosse,-0.344108858
50-50,mary-elise-chavez,-1.396905976
50-50,mash-lol,-2.766871399
50-50,mathieu,-2.514094649
50-50,matsukaz,-3.373617188
50-50,matt-britton,-2.14061378
50-50,matt-ellsworth,-2.773018246
50-50,matt-galligan,-2.503817562
50-50,matt-ganzak,-3.358220453
50-50,matt-hagel,-4.442308674
50-50,matt-hunter,-4.022656275
50-50,matt-hurst,-1.999169807
50-50,matt-van-horn,-2.50500687
50-50,matt-wurst,-2.867866255
50-50,matthew-caldecutt,-2.466349437
50-50,matthew-lucero,-1.582384638
50-50,matthew-pantoja,-2.451104878
50-50,matthew-schultz,-3.100671987
50-50,maura-johnston,-0.726232855
50-50,maya-baratz,-2.694670477
50-50,meghan-keane,-4.644282904
50-50,meghan-murphy,-2.289139891
50-50,melodie-tao,-2.770110985
50-50,meryl-cooper,-1.733623897
50-50,micah-baldwin,-3.572195288
50-50,micah-craig,-1.538910468
50-50,micah-saul,-1.730356856
50-50,michael-disalvo,-5.105202576
50-50,michael-karnjanaprakorn,-1.562694574
50-50,michael-milberger,-3.248544502
50-50,michael-sharon,-2.688858733
50-50,michael-tabtabai,-2.225444132
50-50,michael-thacker,-3.227058311
50-50,michele-b,-1.11929197
50-50,michelle-shildkret,-1.630838903
50-50,mike-diliberto,-1.994238258
50-50,mike-dizon,-3.541998383
50-50,mike-dudas,-4.553854128
50-50,mike-fabio,-1.992006712
50-50,mike-mostransky,-2.529687642
50-50,mike-odea,-1.539055996
50-50,mike-street,-2.00649057
50-50,mikey-il,-1.663601557
50-50,mikhail-geisherik,-1.01630846
50-50,minsu-ju,-1.619442511
50-50,miriam-ryan,-0.838859351
50-50,mochi_oka,-2.741573365
50-50,mohit-santram,-2.219323477
50-50,morgan-brown,-1.141233882
50-50,morgan-holzer,-1.060427079
50-50,morgan-missentzis,-2.624702676
50-50,mplstv,-3.368930082
50-50,mtths,-4.816002826
50-50,nadia56,-2.224978531
50-50,nan-palmero,-1.46218138
50-50,nantan,-1.751953225
50-50,natanielle-murta,-0.718416821
50-50,nate-bolt,-3.824744337
50-50,nate-folkert,-2.579341876
50-50,nathan-archambault,-2.308327404
50-50,nathan-folkman,-0.920398772
50-50,nic-hernandez,-1.754566809
50-50,nic-werner,-3.099383951
50-50,nick-bilton,-1.619945603
50-50,nick-douglas,-2.804656554
50-50,nick-foden,-3.333693038
50-50,nick-johnson,-4.095204017
50-50,nick-lamb,-1.514887254
50-50,nick-vlku,-2.183277236
50-50,nicole-dcruz,-3.541903556
50-50,nicole-de-beaufort,-1.392569572
50-50,nicole-hering,-2.848018845
50-50,nikki5,-2.469311494
50-50,nina-kjarval,-1.920666873
50-50,nob-seki,-3.141561619
50-50,noelle-sadler,-2.639877413
50-50,octavio-maron,-2.285554108
50-50,onepiece-chopper,-1.066670951
50-50,orchid-liu,-2.450946245
50-50,orli-sharaby,-4.378924662
50-50,oscar-trelles,-3.387883587
50-50,otarako,-4.247372317
50-50,owen-thomas,-2.871688014
50-50,paloma-vazquez,-4.040203198
50-50,pamela-vaughter,-2.9645548
50-50,pat-bronson,-1.0262581
50-50,pat-hu,-2.145064353
50-50,patrick,-2.646443008
50-50,patrick-roanhouse,-2.300088485
50-50,patrick-simkins,-2.769891275
50-50,paul-stamatiou,-1.933028531
50-50,paull-young,-1.977531636
50-50,pav-c,-3.275232954
50-50,pete-3,-1.157732504
50-50,pete-dirksen,-2.483656381
50-50,pete-jelliffe,-2.30169309
50-50,peter-cortez,-1.509742424
50-50,peter-kim,-2.392977369
50-50,peter-knierim,-3.225857876
50-50,peter-mullen,-1.511104695
50-50,phil-buehler,-4.015148707
50-50,phil-gillman,-3.076011938
50-50,phil-hamilton,-4.482268694
50-50,philippe-surber,-4.364059822
50-50,phillip-lamplugh,-0.9874302
50-50,phoebe-e,-2.687750738
50-50,pierre-arlais,-1.56306314
50-50,pinkpeco,-1.694890205
50-50,poooooon-caraldo,-2.987099438
50-50,prashant-agarwal,-2.251616901
50-50,rachel-barbarotta,-3.366099113
50-50,rachel-levy,-1.481904971
50-50,rafael-p,-3.64537943
50-50,rafael-rivera,-5.310095024
50-50,rameet-chawla,-4.795205129
50-50,rannie-turingan,-3.89984167
50-50,regina-walton,-1.927056521
50-50,remington-guest,-2.971336167
50-50,renato-valdes-olmos,-4.255687884
50-50,ricardo-diaz,-2.251355308
50-50,richard-titus,-1.976779973
50-50,richie-edquid,-1.837247331
50-50,richlocation,0.026045395
50-50,rick-jessup,-5.06529897
50-50,rick-turoczy,-5.042469574
50-50,rick-webb,-2.600301429
50-50,rick-wion,-3.021847184
50-50,ricky-engelberg,-2.427213697
50-50,riki-sekita,-3.947405035
50-50,ritwik-dey,-0.597907116
50-50,rob-fishman,-5.664621682
50-50,rob-hitt,-4.982109813
50-50,rob-schneider,-3.23500171
50-50,robert-scoble,-0.876088613
50-50,roberto-osorio-goenaga,-1.647582478
50-50,rod-begbie,-1.75417727
50-50,ron-schott,-2.282835807
50-50,ron-villacarillo,-3.340629264
50-50,rosie-siman,-4.850976574
50-50,ryan-king,-2.241317879
50-50,ryan-lawler,-2.236192958
50-50,ryan-matzner,-2.795317056
50-50,ryan-meray,-1.904082604
50-50,ryan-moede,-3.133420046
50-50,ryan-sarver,-2.885034257
50-50,sabine-de-witte,-3.585937596
50-50,sam-ys-yoo,-2.256638785
50-50,sam7,-2.180443131
50-50,sammy-silva,-1.508106599
50-50,sandro-pigoni,-3.645597229
50-50,sandro-pugliese,-1.914827336
50-50,sandy-bell,-3.113201663
50-50,sang-uk-bae,0.417181998
50-50,sarah-conley,-1.964556978
50-50,sarah-cooley,-0.627539054
50-50,sarah-giardina,-1.456766645
50-50,sarah-harrison,-2.691717971
50-50,sarah-wulfeck,-1.924406876
50-50,saul-colt,-0.325423303
50-50,schneidermike-schneidermike,-3.360184587
50-50,scott-falconer,-2.575487862
50-50,scott-ferguson,-2.357474965
50-50,scott-gallaher,-3.669010346
50-50,sean-donovan,-3.065853836
50-50,sean-mcdonald,-3.280768121
50-50,selene-liszka,-2.125145977
50-50,senator-john-blutarski,-4.181490181
50-50,seth-blank,-2.77890125
50-50,seth-goldstein,-0.966262921
50-50,seth-weisfeld,-2.843895801
50-50,shane-vitarana,-3.853979
50-50,sharman-ordoyne,-3.07808485
50-50,shaun-rance,-2.002490385
50-50,shehab-hamad,-3.270319974
50-50,shinya-ichinohe,-2.30047112
50-50,shinya-sakemoto,-0.85636131
50-50,siegfrid,-3.74314746
50-50,siobhan-quinn,-2.28425323
50-50,some-inu,-3.754231402
50-50,song-yeong-min,-2.389606602
50-50,soup-soup,-2.52623611
50-50,stan-chin,-2.947372005
50-50,steffen-siegrist,-0.647001426
50-50,stephan-macleod,-3.93173449
50-50,stephen-fox,-3.511981014
50-50,stephen-koch,-3.647101125
50-50,steve-levine2,-2.390615046
50-50,steve-luu,-3.745185988
50-50,steve-s07,-1.951684652
50-50,steven-suwatanapongched,-1.089484048
50-50,stuart-tracte,-2.240340071
50-50,sugutti-kova,-3.576637478
50-50,suki-b,-1.841642964
50-50,summer-bedard,-3.139762359
50-50,sung-ki-park,-4.396995885
50-50,sunghwan-kim,-3.213777237
50-50,sunny-ng,-2.645143332
50-50,sutae-kim,-3.688740423
50-50,suzanne-marlatt,-1.159023708
50-50,suzy-chase-osborne,-2.993434356
50-50,sven-ahrens,-2.46129153
50-50,syochin,-2.746786418
50-50,takafumi,-3.309190824
50-50,takeshi-yamamoto,-1.686462667
50-50,tara-hunt,-4.223152638
50-50,tara-jepson,-3.481901243
50-50,tarah-feinberg,-1.605593749
50-50,tatiana-krasnova,-1.737284758
50-50,tatiana-peck,-2.818314453
50-50,taylor-newby,-2.591327393
50-50,techgurujeff,-1.364388516
50-50,ted-rheingold,-3.283721957
50-50,terrence,-2.690501864
50-50,teru,-1.700697526
50-50,tessa-horehled,-5.518101051
50-50,tetsuya-sato,-1.009197217
50-50,thais-lima,-1.407551948
50-50,the-corcoran-group,-3.37962198
50-50,thefatapple,-0.857016913
50-50,theodora-blanchfield,-3.030603353
50-50,thomas-trumble,-1.471149467
50-50,thug-style,-1.66275558
50-50,tikva-morowati,-2.810992796
50-50,tim-kane,-1.801765358
50-50,tim-kersey,-1.786871482
50-50,tim-shey,-3.000349704
50-50,tim-vetter,-2.009135462
50-50,timoni-grone,-2.023042236
50-50,tina-hui,-2.311749287
50-50,tj-cho,-3.637647171
50-50,toby-padilla,-4.513452874
50-50,todd-carpenter,-3.980572468
50-50,tollef-biggs,-1.365260112
50-50,tom-cummings,-2.910511923
50-50,tom-mascardo,-3.329659644
50-50,tomo-himajin,-1.464603669
50-50,tony-bacigalupo,-3.593255177
50-50,toonmonk,-2.09299878
50-50,tsubasa-a,-1.566722939
50-50,twanna-hines,-2.035370033
50-50,tyler-fitch,-5.584022879
50-50,tyler-t,-0.807057085
50-50,tyler-willis,-3.346695867
50-50,unityan,-0.900405765
50-50,uzu,-3.0963396
50-50,vignesh-ram,-1.004906532
50-50,ville-vihermaa,-2.272353576
50-50,vince-maniago,-2.32286259
50-50,vishal-sapra,-2.115689363
50-50,walter-elly,-2.083590008
50-50,wan-wan,-2.900609148
50-50,wayne-r,-2.079873408
50-50,wayne-sutton,-2.187692039
50-50,werner-vogels,-1.086747784
50-50,whitney-jefferson,-3.238586228
50-50,whitney6,-2.936051771
50-50,william-beutler,-1.550129896
50-50,william-toll,-3.652144458
50-50,wungjae-hyun,-3.046097951
50-50,yawen-c,-2.908260429
50-50,yoshihiro,-4.006016893
50-50,yoshihiro-minegishi,-3.087956821
50-50,younhaholic,-3.681768314
50-50,yuichi1123,-1.151509811
50-50,yuina-azu,-2.246885857
50-50,yuna-park,-3.698379076
50-50,yuri-van-geest,-4.138655051
50-50,zach-klein,-3.28984348
50-50,zach-linder,-4.159394955
50-50,zach-seward,-2.412848065
50-50,zachary-blank,-3.108082901
50-50,zack-simone,-4.177116262
50-50,zeeshan-h,-4.653695506
