,Ego,Cross Entropy
80-20,david-trahan,-2.699022915
80-20,dawn-winchester,-2.702265147
80-20,dean-faustman,-3.282501128
80-20,dennis-mykytyn,-3.05017471
80-20,dennis-yang,-4.908521797
80-20,dens,-3.560881221
80-20,derric-podschun,-5.165629065
80-20,devin-brown,-5.846303389
80-20,devin-reams,-2.922584017
80-20,dharmesh-shah,-2.709921881
80-20,dhawal-damania,-4.32391795
80-20,dina-fierro,-3.541978807
80-20,dipesh-goel,-3.865748974
80-20,dishan-wijesinghe,-4.707447807
80-20,do9-iigane,-4.089178147
80-20,dolapo-falola,-2.892821944
80-20,dominic-preuss,-2.829042506
80-20,doug-akin,-3.211941493
80-20,doug-chavez,-4.087030262
80-20,doug-jaeger,-6.972123333
80-20,douglas-lin0,-5.316557089
80-20,downtownrob-marlbrough,-4.095306253
80-20,dre-labre,-3.622901292
80-20,dustin-whittle,-5.55192069
80-20,dylan-armajani,-4.254636371
80-20,ed-costello,-3.912797927
80-20,ed-kohler,-2.767812267
80-20,ed-palumbo,-2.736680013
80-20,elavrov,-2.026996695
80-20,ellen-chisa,-3.414720868
80-20,elnif,-3.470254751
80-20,elysa-rice,-2.728630927
80-20,emily-woolf,-1.330072004
80-20,emilyspearl,-3.219368927
80-20,enia-titova,-5.277845001
80-20,enrico-gatti,-6.41699086
80-20,eric-andersen,-3.027754575
80-20,eric-park,-3.197443847
80-20,eric-petersen,-5.486902782
80-20,erik-hess,-5.930489992
80-20,erin-gleason,-5.306009151
80-20,ernie-hsiung,-6.289821993
80-20,esther-assaad,-3.882954446
80-20,ethan-bloch,-3.356525564
80-20,eugene-donca-mollino,-6.401168234
80-20,evan-solomon,-5.488244387
80-20,fakery99,-2.847330393
80-20,fazz0611,-3.653765946
80-20,fernando-maclen,-5.508929126
80-20,florian-fangohr,-4.80310093
80-20,florian-seroussi,-4.283876646
80-20,foughtthebattle,-4.965571617
80-20,fox-woods,-4.600027924
80-20,frank-bovenkerk,-3.812756793
80-20,fred-wilson,-3.196473495
80-20,fumon-masahiro,-2.062813653
80-20,fwkw3521,-2.54376964
80-20,gauri-manglik,-2.123572448
80-20,gavin-becker,-3.299256281
80-20,gcellz-guerrero,-4.244771641
80-20,geoff-kim,-5.407177847
80-20,geoff-wood,-5.834491906
80-20,gerard-ramos,-4.284676904
80-20,gerke-p,-3.768975777
80-20,giancarlo-pitocco,-4.632096722
80-20,gijsbregt-brouwer,-3.561343589
80-20,golee,-2.78959256
80-20,goryugo,-2.677704545
80-20,gotetsu,-0.736584009
80-20,grace-aldridge,-6.251615013
80-20,graeme-douglas,-4.094591736
80-20,grant-hutchins,-4.479997418
80-20,greg,-3.710443006
80-20,greg-dean,-2.959725039
80-20,halle-tecco,-6.550830969
80-20,hashem-bajwa,-4.591938256
80-20,hawaii,-7.867746525
80-20,heather-hynes,-4.099699156
80-20,heather-macdonald,-3.162299048
80-20,heiko-hebig,-5.400626719
